Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,GrabFood / GrabMart Other Commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,VAT Amount,PIT Amount,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood / GrabMart Commission, Adjustments, Ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,12 Oct 2025 7:04 PM,12 Oct 2025 6:32 PM,GrabFood,Payment ,,Transferred,3141383223sp00000000000000000000,,,,9341043-C7TCPB4FRK4BJN,GF-104,A-8FRXXRKWWXGXAV,GrabFood app & web,,Cash,,,,,,,,SVNRC711U1R1,13 Oct 2025 2:56 AM,22000,0,0,,,,0,0,,0,0,22000,,,,0,0,-4320,,0,0,0,0,0,0,17680,,,,,-320,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,12 Oct 2025 6:44 PM,12 Oct 2025 6:19 PM,GrabFood,Payment ,,Transferred,3141314931sp00000000000000000000,,,,308209543-C7TCN8LKGVEBET,GF-770,A-8FQVQV7WX29SAV,GrabFood app & web,,Cash,,,,,,,,SVNRC711U1R1,13 Oct 2025 2:56 AM,66000,0,0,,,,-7500,0,,0,0,58500,,,,0,0,-11486,,0,0,0,0,0,0,47014,,,,,-851,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,12 Oct 2025 1:18 PM,12 Oct 2025 1:18 PM,GrabFood,Advertisement,,Transferred,3140475735sp00000000000000000000,,,,d0029074c62d4e158dd8330496c5aa65,,d0029074c62d4e158dd8330496c5aa65,,,Cash,,,,,,,,SVNRC711U1R1,13 Oct 2025 2:56 AM,-300,,,,,,,,,,,,,,,,,,,,,,,,,-324,,,,,-24,,,,,Đồng Tài Trợ Đa Tầng - Gói Tiêu Chu - 2025-10-11,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,12 Oct 2025 8:43 AM,12 Oct 2025 8:33 AM,GrabFood,Payment ,,Transferred,3139637592sp00000000000000000000,,,,188469554-C7TCGLAUPFAKDE,GF-184,A-8FPA78IGWWPOAV,GrabFood app & web,,Cashless,,,,,,,,SVNRC711U1R1,13 Oct 2025 2:56 AM,29000,0,0,,,,0,0,,0,0,29000,,,,0,0,-5694,,0,0,0,0,0,0,23306,,,,,-422,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Kiên Giang,914c7736-aef9-43f4-b84e-3fbed85e8a78,12 Oct 2025 9:37 PM,12 Oct 2025 9:02 PM,GrabFood,Payment ,,Transferred,3141807508sp00000000000000000000,,,,458615077-C7TCR73EFBWJTA,GF-225,A-8FREO8IWW44CAV,GrabFood app & web,,Cash,,,,,,,,SVNZT437SPKN,13 Oct 2025 2:56 AM,54000,0,0,,,,-20000,0,,0,0,34000,,,,0,0,-6676,,0,0,0,0,0,0,27324,,,,,-495,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Kiên Giang,914c7736-aef9-43f4-b84e-3fbed85e8a78,12 Oct 2025 1:21 PM,12 Oct 2025 1:21 PM,GrabFood,Advertisement,,Transferred,3140489869sp00000000000000000000,,,,c5cc3c650264457b969910eaeedddf8b,,c5cc3c650264457b969910eaeedddf8b,,,Cash,,,,,,,,SVNZT437SPKN,13 Oct 2025 2:56 AM,-400,,,,,,,,,,,,,,,,,,,,,,,,,-432,,,,,-32,,,,,Đồng Tài Trợ Đa Tầng - Gói Tiêu Chu - 2025-10-11,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Kiên Giang,914c7736-aef9-43f4-b84e-3fbed85e8a78,12 Oct 2025 12:28 PM,12 Oct 2025 12:11 PM,GrabFood,Payment ,,Transferred,3140252479sp00000000000000000000,,,,266488351-C7TCJZJ1VYAXGX,GF-230,A-8FPU776W3CMCAV,GrabFood app & web,,Cashless,,,,,,,,SVNZT437SPKN,13 Oct 2025 2:56 AM,58000,0,0,,,,-7500,0,,0,0,50500,,,,0,0,-9915,,0,0,0,0,0,0,40585,,,,,-734,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Kiên Giang,914c7736-aef9-43f4-b84e-3fbed85e8a78,12 Oct 2025 12:08 PM,12 Oct 2025 11:36 AM,GrabFood,Payment ,,Transferred,3140166859sp00000000000000000000,,,,387927703-C7TCJRAJNYDTG6,GF-044,A-8FPRW7EGWGN9AV,GrabFood app & web,,Cash,,,,,,,,SVNZT437SPKN,13 Oct 2025 2:56 AM,25000,0,0,,,,0,0,,0,0,25000,,,,0,0,-4909,,0,0,0,0,0,0,20091,,,,,-364,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Kiên Giang,914c7736-aef9-43f4-b84e-3fbed85e8a78,12 Oct 2025 11:40 AM,12 Oct 2025 11:05 AM,GrabFood,Payment ,,Transferred,3140056618sp00000000000000000000,,,,225686286-C7TCJGKAENNFR2,GF-534,A-8FPO4WOGWMUOAV,GrabFood app & web,,Cashless,,,,,,,,SVNZT437SPKN,13 Oct 2025 2:56 AM,69000,0,0,,,,-20000,0,,0,0,49000,,,,0,0,-9621,,0,0,0,0,0,0,39379,,,,,-713,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,12 Oct 2025 7:52 PM,12 Oct 2025 7:29 PM,GrabFood,Payment ,,Transferred,3141544587sp00000000000000000000,,,,147767819-C7TCRJLENKEURE,GF-909,A-8FR67QAWWT6TAV,GrabFood app & web,,Cashless,,,,,,,,SVNM3OBCTX29,13 Oct 2025 2:55 AM,29000,0,0,,,,0,0,,0,0,29000,,,,0,0,-5694,,0,0,0,0,0,0,23306,,,,,-422,0,,,,,,,,,
