Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1223503
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,281431
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2435089
Cà Phê Muối Chú Long - 417 Cộng Hoà,3301856
Cà Phê Muối Chú Long - Bà Rịa,131284
Cà Phê Muối Chú Long - Bà Triệu,997000
Cà Phê Muối Chú Long - Bến Tre,65642
Cà Phê Muối Chú Long - Bình Long,3258022
Cà Phê Muối Chú Long - Cà Mau,376724
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,801661
Cà Phê Muối Chú Long - Cần Thơ,815506
Cà Phê Muối Chú Long - Classic,1611618
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2276867
Cà Phê Muối Chú Long - Đoàn Thị Điểm,224842
Cà Phê Muối Chú Long - Đội Cấn,5733943
Cà Phê Muối Chú Long - Đồng Xoài,204471
Cà Phê Muối Chú Long - Đường Láng,8392064
Cà Phê Muối Chú Long - Hà Huy Giáp,3853285
Cà Phê Muối Chú Long - Hậu Giang,3220978
Cà Phê Muối Chú Long - Hoàng Diệu,1079847
Cà Phê Muối Chú Long - Hùng Vương,270944
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1828542
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2821393
Cà Phê Muối Chú Long - Kiên Giang,742732
Cà Phê Muối Chú Long - Kha Vạn Cân,1460043
Cà Phê Muối Chú Long - Lạc Long Quân,2173353
Cà Phê Muối Chú Long - Lê Duẩn,1506326
Cà Phê Muối Chú Long - Long An,498577
Cà Phê Muối Chú Long - Long Xuyên,264907
Cà Phê Muối Chú Long - Ngô Tất Tố,350316
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5004925
Cà Phê Muối Chú Long - Nguyễn Huệ,3441365
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1518587
Cà Phê Muối Chú Long - Phan Thiết,1503452
Cà Phê Muối Chú Long - Quảng Ngãi,1050081
Cà Phê Muối Chú Long - Tân Hoà Đông,2876848
Cà Phê Muối Chú Long - Tây Ninh,147129
Cà Phê Muối Chú Long - Tiền Giang,576289
Cà Phê Muối Chú Long - Tôn Đức Thắng,6957274
Cà Phê Muối Chú Long - Thanh Nhàn,8881480
Cà Phê Muối Chú Long - Thích Quảng Đức,1357880
Cà Phê Muối Chú Long - Thuận An,774194
Cà Phê Muối Chú Long - Trà Vinh,168444
Cà Phê Muối Chú Long - Trần Hưng Đạo,367895
Cà Phê Muối Chú Long - Trương Định,7191019
Cà Phê Muối Chú Long - Vĩnh Long,327266
Cà Phê Muối Chú Long - Võ Văn Kiệt,1896295
Cà Phê Muối Chú Long - Vũng Tàu,884502
(blank),
Grand Total,97127691
