Row Labels,Sum of PHÍ QUẢNG CÁO
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,"485,593"
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,"105,937"
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,"1,981,149"
Cà Phê Muối Chú Long - 417 Cộng Hoà,"2,035,889"
Cà Phê Muối Chú Long - An Dương Vương,"477,988"
Cà Phê Muối Chú Long - Bà Rịa,"23,824"
Cà Phê Muối Chú Long - Bà Triệu,"425,780"
Cà Phê Muối Chú Long - Bến Tre,"210,735"
Cà Phê Muối Chú Long - Bình Long,"2,361,562"
Cà Phê Muối Chú Long - Cà Mau,"129,761"
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,"566,697"
Cà Phê Muối Chú Long - Cần Thơ,"805,685"
Cà Phê Muối Chú Long - Classic,"780,092"
Cà Phê Muối Chú Long - Công Trường Quốc Tế,"1,600,173"
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,"1,136,933"
Cà Phê Muối Chú Long - Đoàn Thị Điểm,"260,285"
Cà Phê Muối Chú Long - Đội Cấn,"5,056,385"
Cà Phê Muối Chú Long - Đồng Xoài,"133,309"
Cà Phê Muối Chú Long - Đường Láng,"6,257,189"
Cà Phê Muối Chú Long - Hà Huy Giáp,"2,029,673"
Cà Phê Muối Chú Long - Hậu Giang,"2,999,367"
Cà Phê Muối Chú Long - Hoàng Diệu,"538,434"
Cà Phê Muối Chú Long - Hùng Vương,"303,876"
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,"1,460,576"
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,"4,118,908"
Cà Phê Muối Chú Long - Kiên Giang,"276,883"
Cà Phê Muối Chú Long - Kha Vạn Cân,"1,259,603"
Cà Phê Muối Chú Long - Lạc Long Quân,"970,171"
Cà Phê Muối Chú Long - Lê Duẩn,"688,596"
Cà Phê Muối Chú Long - Long An,"452,137"
Cà Phê Muối Chú Long - Long Xuyên,"139,393"
Cà Phê Muối Chú Long - Ngô Tất Tố,"529,692"
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,"3,206,020"
Cà Phê Muối Chú Long - Nguyễn Huệ,"2,952,583"
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,"1,156,701"
Cà Phê Muối Chú Long - Phan Thiết,"1,453,976"
Cà Phê Muối Chú Long - Quảng Ngãi,"916,314"
Cà Phê Muối Chú Long - Tây Ninh,"846,232"
Cà Phê Muối Chú Long - Tiền Giang,"167,143"
Cà Phê Muối Chú Long - Tôn Đức Thắng,"5,704,691"
Cà Phê Muối Chú Long - Thanh Nhàn,"7,337,863"
Cà Phê Muối Chú Long - Thích Quảng Đức,"522,088"
Cà Phê Muối Chú Long - Thuận An,"953,692"
Cà Phê Muối Chú Long - Trà Vinh,"508,654"
Cà Phê Muối Chú Long - Trần Hưng Đạo,"530,702"
Cà Phê Muối Chú Long - Trương Định,"5,414,244"
Cà Phê Muối Chú Long - Vĩnh Long,"236,079"
Cà Phê Muối Chú Long - Võ Văn Kiệt,"1,993,566"
Cà Phê Muối Chú Long - Vũng Tàu,"565,680"
Grand Total,"75,068,502"
