Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1141944
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,192586
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3618606
Cà Phê Muối Chú Long - 417 Cộng Hoà,2488362
Cà Phê Muối Chú Long - An Dương Vương,1210977
Cà Phê Muối Chú Long - Bà Rịa,174291
Cà Phê Muối Chú Long - Bà Triệu,405544
Cà Phê Muối Chú Long - Bến Tre,87333
Cà Phê Muối Chú Long - Bình Long,3712543
Cà Phê Muối Chú Long - Cà Mau,208996
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,2063950
Cà Phê Muối Chú Long - Cần Thơ,1271527
Cà Phê Muối Chú Long - Classic,1626715
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2817696
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1533158
Cà Phê Muối Chú Long - Đoàn Thị Điểm,137698
Cà Phê Muối Chú Long - Đội Cấn,7648405
Cà Phê Muối Chú Long - Đồng Xoài,351598
Cà Phê Muối Chú Long - Đường Láng,7175341
Cà Phê Muối Chú Long - Hà Huy Giáp,3963221
Cà Phê Muối Chú Long - Hậu Giang,3782333
Cà Phê Muối Chú Long - Hoàng Diệu,1082523
Cà Phê Muối Chú Long - Hùng Vương,290486
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2476659
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3380563
Cà Phê Muối Chú Long - Kiên Giang,438744
Cà Phê Muối Chú Long - Kha Vạn Cân,2478549
Cà Phê Muối Chú Long - Lạc Long Quân,1887771
Cà Phê Muối Chú Long - Lê Duẩn,998018
Cà Phê Muối Chú Long - Long An,371215
Cà Phê Muối Chú Long - Long Xuyên,310290
Cà Phê Muối Chú Long - Ngô Tất Tố,1384897
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5143463
Cà Phê Muối Chú Long - Nguyễn Huệ,3910601
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1286430
Cà Phê Muối Chú Long - Phan Thiết,1809102
Cà Phê Muối Chú Long - Quảng Ngãi,1214187
Cà Phê Muối Chú Long - Tây Ninh,249740
Cà Phê Muối Chú Long - Tiền Giang,416107
Cà Phê Muối Chú Long - Tôn Đức Thắng,10076789
Cà Phê Muối Chú Long - Thanh Nhàn,11980404
Cà Phê Muối Chú Long - Thích Quảng Đức,882016
Cà Phê Muối Chú Long - Thuận An,2206351
Cà Phê Muối Chú Long - Trà Vinh,132981
Cà Phê Muối Chú Long - Trương Định,8900884
Cà Phê Muối Chú Long - Vĩnh Long,440252
Cà Phê Muối Chú Long - Võ Văn Kiệt,2665667
Cà Phê Muối Chú Long - Vũng Tàu,652269
(blank),
Grand Total,112679782
