Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,794718
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,219976
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2729948
Cà Phê Muối Chú Long - 417 Cộng Hoà,2267512
Cà Phê Muối Chú Long - An Dương Vương,1169933
Cà Phê Muối Chú Long - Bà Rịa,131887
Cà Phê Muối Chú Long - Bà Triệu,774684
Cà Phê Muối Chú Long - Bến Tre,228992
Cà Phê Muối Chú Long - Bình Long,4264690
Cà Phê Muối Chú Long - Cà Mau,31726
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1147151
Cà Phê Muối Chú Long - Cần Thơ,1008016
Cà Phê Muối Chú Long - Classic,1521463
Cà Phê Muối Chú Long - Công Trường Quốc Tế,718440
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1522059
Cà Phê Muối Chú Long - Đoàn Thị Điểm,71679
Cà Phê Muối Chú Long - Đội Cấn,4433687
Cà Phê Muối Chú Long - Đồng Xoài,365405
Cà Phê Muối Chú Long - Đường Láng,5837758
Cà Phê Muối Chú Long - Hà Huy Giáp,2804338
Cà Phê Muối Chú Long - Hậu Giang,3730949
Cà Phê Muối Chú Long - Hoàng Diệu,1103011
Cà Phê Muối Chú Long - Hùng Vương,343641
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2109665
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2498243
Cà Phê Muối Chú Long - Kiên Giang,425390
Cà Phê Muối Chú Long - Kha Vạn Cân,1268398
Cà Phê Muối Chú Long - Lạc Long Quân,2248196
Cà Phê Muối Chú Long - Lê Duẩn,1024843
Cà Phê Muối Chú Long - Long An,1015185
Cà Phê Muối Chú Long - Long Xuyên,342582
Cà Phê Muối Chú Long - Ngô Tất Tố,765522
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3330840
Cà Phê Muối Chú Long - Nguyễn Huệ,2693732
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1044235
Cà Phê Muối Chú Long - Phan Thiết,2624793
Cà Phê Muối Chú Long - Phan Văn Trị,285957
Cà Phê Muối Chú Long - Quảng Ngãi,1832502
Cà Phê Muối Chú Long - Tây Ninh,197153
Cà Phê Muối Chú Long - Tiền Giang,386154
Cà Phê Muối Chú Long - Tôn Đức Thắng,6471003
Cà Phê Muối Chú Long - Thanh Nhàn,7963120
Cà Phê Muối Chú Long - Thích Quảng Đức,871529
Cà Phê Muối Chú Long - Thuận An,560973
Cà Phê Muối Chú Long - Trà Vinh,343978
Cà Phê Muối Chú Long - Trần Hưng Đạo,592853
Cà Phê Muối Chú Long - Trương Định,5393504
Cà Phê Muối Chú Long - Vĩnh Long,323116
Cà Phê Muối Chú Long - Võ Văn Kiệt,1888375
Cà Phê Muối Chú Long - Vũng Tàu,1243500
(blank),
Grand Total,86967004
