STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1,09125-806052699,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 7:00,"87,000","15,000",0,0,"17,676",0,"54,324"
2,09125-824637554,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 8:21,"195,000","26,000",0,0,"41,490",0,"127,511"
3,09125-831210848,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:18,"262,000","54,000",0,0,"51,064",0,"156,936"
4,09125-842275073,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:16,"83,000","11,000",0,0,"17,676",0,"54,324"
5,10125-011546247,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 8:39,"58,000","15,000",0,0,"10,557",0,"32,444"
6,10125-015288768,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 0:42,"54,000","15,000",0,0,"9,575",0,"29,426"
7,10125-037070475,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:25,"58,000","11,000",0,0,"11,539",0,"35,462"
8,10125-050852565,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:33,"36,000","10,800",0,0,"6,187",0,"19,013"
9,10125-052749930,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 1:49,"58,000","15,000",0,0,"10,557",0,"32,444"
10,10125-055081411,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 1:51,"58,000","15,000",0,0,"10,557",0,"32,444"
11,10125-057959072,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:27,"29,000","7,250",0,0,"5,340",0,"16,410"
12,10125-085109329,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 2:33,"58,000","15,000",0,0,"10,557",0,"32,444"
13,10125-092866492,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 2:45,"58,000","15,000",0,0,"10,557",0,"32,444"
14,10125-131745481,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 3:59,"36,000","5,000",0,0,"7,611",0,"23,390"
15,10125-159302902,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:13,"167,000","48,000",0,0,"29,215",0,"89,786"
16,10125-189912161,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 5:46,"58,000","11,000",0,0,"11,539",0,"35,462"
17,10125-199265294,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 5:41,"29,000","8,700",0,0,"4,984",0,"15,316"
18,10125-204667352,10235659,Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,10/12/2025 5:56,"51,000","15,000",0,0,"8,838",0,"27,162"
19,10125-205989134,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 6:08,"36,000","10,800",0,0,"6,187",0,"19,013"
20,10125-208772350,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 6:03,"54,000","15,000",0,0,"9,575",0,"29,426"
21,10125-210476044,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 6:11,"29,000","8,700",0,0,"4,984",0,"15,316"
22,10125-212043903,10225895,Cà Phê Muối Chú Long - Cách Mạng Tháng 8,10/12/2025 6:10,"54,000","15,000",0,0,"9,575",0,"29,426"
23,10125-217228804,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:33,"29,000","8,700",0,0,"4,984",0,"15,316"
24,10125-219029081,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:11,"44,000","13,200",0,0,"7,561",0,"23,239"
25,10125-220171699,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:18,"22,000","5,500",0,0,"4,051",0,"12,449"
26,10125-220484949,10358016,Cà Phê Muối Chú Long - Bà Triệu,10/12/2025 6:34,"163,000","48,000",0,0,"28,233",0,"86,768"
27,10125-222633333,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 6:37,"45,000",0,0,0,"11,048",0,"33,953"
28,10125-224406857,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 6:28,"58,000","15,000",0,0,"10,557",0,"32,444"
29,10125-224630462,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 6:36,"22,000","6,600",0,0,"3,781",0,"11,619"
30,10125-226434352,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 6:34,"54,000","11,000",0,0,"10,557",0,"32,444"
31,10125-227096712,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 6:29,"22,000","6,600",0,0,"3,781",0,"11,619"
32,10125-227894077,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:37,"29,000","8,700",0,0,"4,984",0,"15,316"
33,10125-228273834,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:45,"167,000","22,000",0,0,"35,598",0,"109,403"
34,10125-230020263,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 6:37,"87,000","15,000",0,0,"17,676",0,"54,324"
35,10125-230529139,10233716,Cà Phê Muối Chú Long - 130 Thích Quảng Đức,10/12/2025 6:36,"44,000","13,200",0,0,"7,561",0,"23,239"
36,10125-232025829,10230814,Cà Phê Muối Chú Long - Võ Văn Kiệt,10/12/2025 6:42,"25,000",0,0,0,"6,138",0,"18,863"
37,10125-232645973,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 6:51,"58,000","11,000",0,0,"11,539",0,"35,462"
38,10125-232785442,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:37,"101,000","20,000",0,0,"19,886",0,"61,115"
39,10125-234059954,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 7:06,"55,000","11,000",0,0,"10,802",0,"33,198"
40,10125-234431153,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 6:48,"51,000","15,000",0,0,"8,838",0,"27,162"
41,10125-236626247,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 6:52,"87,000","15,000",0,0,"17,676",0,"54,324"
42,10125-236628789,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 6:49,"196,000","48,000",0,0,"36,334",0,"111,666"
43,10125-237233993,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:46,"29,000","8,700",0,0,"4,984",0,"15,316"
44,10125-237248248,10298824,Cà Phê Muối Chú Long - Hoàng Diệu,10/12/2025 6:59,"44,000","13,200",0,0,"7,561",0,"23,239"
45,10125-237741750,10285817,Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,10/12/2025 6:57,"51,000","15,000",0,0,"8,838",0,"27,162"
46,10125-237746342,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 6:55,"44,000","13,200",0,0,"7,561",0,"23,239"
47,10125-237876872,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 6:44,"58,000","11,000",0,0,"11,539",0,"35,462"
48,10125-238277309,10381892,Cà Phê Muối Chú Long - Phan Văn Trị,10/12/2025 6:52,"58,000",0,0,0,"14,239",0,"43,761"
49,10125-238979846,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 6:55,"87,000","15,000",0,0,"17,676",0,"54,324"
50,10125-239371309,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 6:57,"22,000","6,600",0,0,"3,781",0,"11,619"
51,10125-239729484,10230817,Cà Phê Muối Chú Long - Thích Quảng Đức,10/12/2025 6:54,"87,000","15,000",0,0,"17,676",0,"54,324"
52,10125-239943827,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 7:16,"87,000","15,000",0,0,"17,676",0,"54,324"
53,10125-240313415,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 6:51,"37,000",0,0,0,"9,084",0,"27,917"
54,10125-241090504,10216423,Cà Phê Muối Chú Long - 417 Cộng Hoà,10/12/2025 7:05,"22,000","6,600",0,0,"3,781",0,"11,619"
55,10125-241705032,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 6:56,"37,000","11,100",0,0,"6,358",0,"19,542"
