Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,591908
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,285729
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1439027
Cà Phê Muối Chú Long - 417 Cộng Hoà,2222618
Cà Phê Muối Chú Long - An Dương Vương,1151199
Cà Phê Muối Chú Long - Bà Rịa,87862
Cà Phê Muối Chú Long - Bà Triệu,552598
Cà Phê Muối Chú Long - Bạch Đằng,455605
Cà Phê Muối Chú Long - Bến Tre,205225
Cà Phê Muối Chú Long - Bình Long,3790776
Cà Phê Muối Chú Long - Cà Mau,366612
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,451155
Cà Phê Muối Chú Long - Cần Thơ,1078181
Cà Phê Muối Chú Long - Classic,1423465
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1517230
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1103897
Cà Phê Muối Chú Long - Đoàn Thị Điểm,185608
Cà Phê Muối Chú Long - Đội Cấn,3694650
Cà Phê Muối Chú Long - Đồng Xoài,592057
Cà Phê Muối Chú Long - Đường Láng,5890954
Cà Phê Muối Chú Long - Hà Huy Giáp,2640493
Cà Phê Muối Chú Long - Hậu Giang,3315437
Cà Phê Muối Chú Long - Hoàng Diệu,839383
Cà Phê Muối Chú Long - Hùng Vương,288221
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1704573
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,1636237
Cà Phê Muối Chú Long - Kha Vạn Cân,1430541
Cà Phê Muối Chú Long - Kiên Giang,506045
Cà Phê Muối Chú Long - Lạc Long Quân,1790646
Cà Phê Muối Chú Long - Lê Duẩn,663733
Cà Phê Muối Chú Long - Long An,932111
Cà Phê Muối Chú Long - Long Xuyên,107856
Cà Phê Muối Chú Long - Ngô Tất Tố,943827
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3178309
Cà Phê Muối Chú Long - Nguyễn Huệ,2377631
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1414203
Cà Phê Muối Chú Long - Phan Thiết,2168654
Cà Phê Muối Chú Long - Phan Văn Trị,1291497
Cà Phê Muối Chú Long - Quảng Ngãi,1406954
Cà Phê Muối Chú Long - Tây Ninh,308553
Cà Phê Muối Chú Long - Thanh Nhàn,5653080
Cà Phê Muối Chú Long - Thích Quảng Đức,1232103
Cà Phê Muối Chú Long - Thuận An,508570
Cà Phê Muối Chú Long - Tiền Giang,322361
Cà Phê Muối Chú Long - Tôn Đức Thắng,7457803
Cà Phê Muối Chú Long - Trà Vinh,418937
Cà Phê Muối Chú Long - Trần Hưng Đạo,434253
Cà Phê Muối Chú Long - Trương Định,7813705
Cà Phê Muối Chú Long - Vĩnh Long,275244
Cà Phê Muối Chú Long - Võ Văn Kiệt,1711705
Cà Phê Muối Chú Long - Vũng Tàu,1077923
(blank),
Grand Total,82936944
