Row Labels,Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,697275
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,150863
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1904501
Cà Phê Muối Chú Long - 417 Cộng Hoà,1679395
Cà Phê Muối Chú Long - An Dương Vương,1136920
Cà Phê Muối Chú Long - Bà Triệu,487561
Cà Phê Muối Chú Long - Bạch Đằng,610956
Cà Phê Muối Chú Long - Bến Tre,184854
Cà Phê Muối Chú Long - Bình Long,3032351
Cà Phê Muối Chú Long - Cà Mau,242271
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,672395
Cà Phê Muối Chú Long - Cần Thơ,1141903
Cà Phê Muối Chú Long - Classic,1492330
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1018882
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1535753
Cà Phê Muối Chú Long - Đoàn Thị Điểm,142940
Cà Phê Muối Chú Long - Đội Cấn,3731592
Cà Phê Muối Chú Long - Đồng Xoài,682636
Cà Phê Muối Chú Long - Đường Láng,5679812
Cà Phê Muối Chú Long - Hà Huy Giáp,3334773
Cà Phê Muối Chú Long - Hậu Giang,3026633
Cà Phê Muối Chú Long - Hoàng Diệu,865942
Cà Phê Muối Chú Long - Hùng Vương,200658
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1820333
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2274113
Cà Phê Muối Chú Long - Kha Vạn Cân,1437594
Cà Phê Muối Chú Long - Kiên Giang,442476
Cà Phê Muối Chú Long - Lạc Long Quân,1430047
Cà Phê Muối Chú Long - Lê Duẩn,748806
Cà Phê Muối Chú Long - Long An,932112
Cà Phê Muối Chú Long - Long Xuyên,255211
Cà Phê Muối Chú Long - Ngô Tất Tố,479109
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3115859
Cà Phê Muối Chú Long - Nguyễn Huệ,2028426
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1802016
Cà Phê Muối Chú Long - Phan Thiết,2425447
Cà Phê Muối Chú Long - Phan Văn Trị,962668
Cà Phê Muối Chú Long - Quảng Ngãi,881485
Cà Phê Muối Chú Long - Tây Ninh,205753
Cà Phê Muối Chú Long - Thanh Nhàn,6593856
Cà Phê Muối Chú Long - Thích Quảng Đức,717837
Cà Phê Muối Chú Long - Thuận An,908664
Cà Phê Muối Chú Long - Tiền Giang,361218
Cà Phê Muối Chú Long - Tôn Đức Thắng,4948357
Cà Phê Muối Chú Long - Trà Vinh,418938
Cà Phê Muối Chú Long - Trần Hưng Đạo,505932
Cà Phê Muối Chú Long - Trương Định,5376401
Cà Phê Muối Chú Long - Vĩnh Long,604696
Cà Phê Muối Chú Long - Võ Văn Kiệt,1866904
Cà Phê Muối Chú Long - Vũng Tàu,627369
Grand Total,77824823
(blank),
Grand Total,155649646
