Row Labels, Sum of phí quảng cáo 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 49,447 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 7,507 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 91,422 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 154,488 "
Cà Phê Muối Chú Long - An Dương Vương," 63,293 "
Cà Phê Muối Chú Long - Bà Rịa," 6,401 "
Cà Phê Muối Chú Long - Bà Triệu," 37,777 "
Cà Phê Muối Chú Long - Bạch Đằng," 7,450 "
Cà Phê Muối Chú Long - Bến Tre," 7,570 "
Cà Phê Muối Chú Long - Bình Long," 210,898 "
Cà Phê Muối Chú Long - Cà Mau," 15,056 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 77,340 "
Cà Phê Muối Chú Long - Cần Thơ," 57,954 "
Cà Phê Muối Chú Long - Classic," 82,738 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 134,620 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 52,207 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 10,655 "
Cà Phê Muối Chú Long - Đội Cấn," 362,305 "
Cà Phê Muối Chú Long - Đồng Xoài," 27,416 "
Cà Phê Muối Chú Long - Đường Láng," 530,995 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 217,037 "
Cà Phê Muối Chú Long - Hậu Giang," 254,205 "
Cà Phê Muối Chú Long - Hoàng Diệu," 43,862 "
Cà Phê Muối Chú Long - Hùng Vương," 45,383 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 115,656 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 146,051 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 82,717 "
Cà Phê Muối Chú Long - Kiên Giang," 26,176 "
Cà Phê Muối Chú Long - Lạc Long Quân," 73,022 "
Cà Phê Muối Chú Long - Lê Duẩn," 51,041 "
Cà Phê Muối Chú Long - Long An," 28,823 "
Cà Phê Muối Chú Long - Long Xuyên," 27,652 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 51,203 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 253,999 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 237,872 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 77,516 "
Cà Phê Muối Chú Long - Phan Thiết," 111,675 "
Cà Phê Muối Chú Long - Phan Văn Trị," 64,034 "
Cà Phê Muối Chú Long - Quảng Ngãi," 62,696 "
Cà Phê Muối Chú Long - Tây Ninh," 23,342 "
Cà Phê Muối Chú Long - Thanh Nhàn," 511,721 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 86,409 "
Cà Phê Muối Chú Long - Thuận An," 42,224 "
Cà Phê Muối Chú Long - Tiền Giang," 15,951 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 482,199 "
Cà Phê Muối Chú Long - Trà Vinh," 23,342 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 25,237 "
Cà Phê Muối Chú Long - Trương Định," 415,319 "
Cà Phê Muối Chú Long - Vĩnh Long," 31,563 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 175,825 "
Cà Phê Muối Chú Long - Vũng Tàu," 56,143 "
Grand Total," (98,912,322)"
(blank),
Grand Total," (93,064,888)"
