Row Labels,Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1759880
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,677165
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1845151
Cà Phê Muối Chú Long - 417 Cộng Hoà,3865713
Cà Phê Muối Chú Long - An Dương Vương,1860609
Cà Phê Muối Chú Long - Bà Rịa,21881
Cà Phê Muối Chú Long - Bà Triệu,741867
Cà Phê Muối Chú Long - Bạch Đằng,947281
Cà Phê Muối Chú Long - Bến Tre,145242
Cà Phê Muối Chú Long - Bình Long,3827986
Cà Phê Muối Chú Long - Cà Mau,529660
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1648594
Cà Phê Muối Chú Long - Cần Thơ,1305858
Cà Phê Muối Chú Long - Classic,2422346
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2539288
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1687077
Cà Phê Muối Chú Long - Đoàn Thị Điểm,349337
Cà Phê Muối Chú Long - Đội Cấn,5965871
Cà Phê Muối Chú Long - Đồng Xoài,745449
Cà Phê Muối Chú Long - Đường Láng,7078762
Cà Phê Muối Chú Long - Hà Huy Giáp,3357729
Cà Phê Muối Chú Long - Hậu Giang,5001235
Cà Phê Muối Chú Long - Hoàng Diệu,936536
Cà Phê Muối Chú Long - Hùng Vương,424790
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3211923
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3143650
Cà Phê Muối Chú Long - Kha Vạn Cân,3107048
Cà Phê Muối Chú Long - Kiên Giang,400455
Cà Phê Muối Chú Long - Lạc Long Quân,1568615
Cà Phê Muối Chú Long - Lê Duẩn,956338
Cà Phê Muối Chú Long - Long An,439498
Cà Phê Muối Chú Long - Long Xuyên,278789
Cà Phê Muối Chú Long - Ngô Tất Tố,1178916
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5412064
Cà Phê Muối Chú Long - Nguyễn Huệ,3790258
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1987744
Cà Phê Muối Chú Long - Nha Trang,5407532
Cà Phê Muối Chú Long - Phan Thiết,1865884
Cà Phê Muối Chú Long - Phan Văn Trị,2086585
Cà Phê Muối Chú Long - Quảng Ngãi,623223
Cà Phê Muối Chú Long - Tây Ninh,227860
Cà Phê Muối Chú Long - Thanh Nhàn,8793753
Cà Phê Muối Chú Long - Thích Quảng Đức,614923
Cà Phê Muối Chú Long - Thuận An,846552
Cà Phê Muối Chú Long - Tiền Giang,367442
Cà Phê Muối Chú Long - Tôn Đức Thắng,8444039
Cà Phê Muối Chú Long - Trà Vinh,317080
Cà Phê Muối Chú Long - Trần Hưng Đạo,437423
Cà Phê Muối Chú Long - Trương Định,7012365
Cà Phê Muối Chú Long - Vĩnh Long,636801
Cà Phê Muối Chú Long - Võ Văn Kiệt,4035090
Cà Phê Muối Chú Long - Vũng Tàu,639066
Grand Total,117516223
(blank),
Grand Total,235032446
