Row Labels,Sum of  Sum of Thực thu ,,
(blank),,,
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1419604,,121334366
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,447798,,
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2146946,,
Cà Phê Muối Chú Long - 417 Cộng Hoà,3679348,,
Cà Phê Muối Chú Long - An Dương Vương,2344999,,
Cà Phê Muối Chú Long - Bà Rịa,89786,,
Cà Phê Muối Chú Long - Bà Triệu,390831,,
Cà Phê Muối Chú Long - Bạch Đằng,1120441,,
Cà Phê Muối Chú Long - Bến Tre,126568,,
Cà Phê Muối Chú Long - Bình Long,3834401,,
Cà Phê Muối Chú Long - Cà Mau,438366,,
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1900226,,
Cà Phê Muối Chú Long - Cần Thơ,1175519,,
Cà Phê Muối Chú Long - Classic,1963979,,
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3029716,,
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1245687,,
Cà Phê Muối Chú Long - Đoàn Thị Điểm,50930,,
Cà Phê Muối Chú Long - Đội Cấn,7189673,,
Cà Phê Muối Chú Long - Đồng Xoài,403281,,
Cà Phê Muối Chú Long - Đường Láng,7443564,,
Cà Phê Muối Chú Long - Hà Huy Giáp,4606244,,
Cà Phê Muối Chú Long - Hậu Giang,5244936,,
Cà Phê Muối Chú Long - Hoàng Diệu,1188911,,
Cà Phê Muối Chú Long - Hùng Vương,304822,,
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1835715,,
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2856562,,
Cà Phê Muối Chú Long - Kha Vạn Cân,2096392,,
Cà Phê Muối Chú Long - Kiên Giang,361975,,
Cà Phê Muối Chú Long - Lạc Long Quân,2189571,,
Cà Phê Muối Chú Long - Lê Duẩn,1153073,,
Cà Phê Muối Chú Long - Long An,457418,,
Cà Phê Muối Chú Long - Long Xuyên,293504,,
Cà Phê Muối Chú Long - Ngô Tất Tố,1075928,,
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4696798,,
Cà Phê Muối Chú Long - Nguyễn Huệ,4946163,,
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2247292,,
Cà Phê Muối Chú Long - Nha Trang,4539095,,
Cà Phê Muối Chú Long - Phan Thiết,1661405,,
Cà Phê Muối Chú Long - Phan Văn Trị,1900218,,
Cà Phê Muối Chú Long - Quảng Ngãi,669051,,
Cà Phê Muối Chú Long - Tây Ninh,405923,,
Cà Phê Muối Chú Long - Thanh Nhàn,11700107,,
Cà Phê Muối Chú Long - Thích Quảng Đức,524382,,
Cà Phê Muối Chú Long - Thuận An,1439968,,
Cà Phê Muối Chú Long - Tiền Giang,448175,,
Cà Phê Muối Chú Long - Tôn Đức Thắng,7764613,,
Cà Phê Muối Chú Long - Trà Vinh,488920,,
Cà Phê Muối Chú Long - Trần Hưng Đạo,504389,,
Cà Phê Muối Chú Long - Trương Định,8017739,,
Cà Phê Muối Chú Long - Vĩnh Long,513250,,
Cà Phê Muối Chú Long - Võ Văn Kiệt,3875885,,
Cà Phê Muối Chú Long - Vũng Tàu,884279,,
Grand Total,,,
(blank),,,
Grand Total,,,
