Row Labels,Sum of PHÍ QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 415,453 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 86,689 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 429,286 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 788,381 "
Cà Phê Muối Chú Long - An Dương Vương," 740,897 "
Cà Phê Muối Chú Long - Bà Rịa," 30,283 "
Cà Phê Muối Chú Long - Bà Triệu," 95,335 "
Cà Phê Muối Chú Long - Bạch Đằng," 322,829 "
Cà Phê Muối Chú Long - Bến Tre," 42,433 "
Cà Phê Muối Chú Long - Bình Long," 1,151,585 "
Cà Phê Muối Chú Long - Cà Mau," 35,844 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 274,321 "
Cà Phê Muối Chú Long - Cần Thơ," 325,445 "
Cà Phê Muối Chú Long - Classic," 512,003 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 435,828 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 304,885 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 85,147 "
Cà Phê Muối Chú Long - Đội Cấn," 1,425,154 "
Cà Phê Muối Chú Long - Đồng Xoài," 87,670 "
Cà Phê Muối Chú Long - Đường Láng," 2,017,538 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 1,061,996 "
Cà Phê Muối Chú Long - Hậu Giang," 1,116,815 "
Cà Phê Muối Chú Long - Hoàng Diệu," 272,359 "
Cà Phê Muối Chú Long - Hùng Vương," 108,653 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 727,532 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 778,659 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 447,138 "
Cà Phê Muối Chú Long - Kiên Giang," 155,899 "
Cà Phê Muối Chú Long - Lạc Long Quân," 458,354 "
Cà Phê Muối Chú Long - Lê Duẩn," 271,516 "
Cà Phê Muối Chú Long - Long An," 137,487 "
Cà Phê Muối Chú Long - Long Xuyên," 30,096 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 154,499 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 1,049,709 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 771,649 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 510,226 "
Cà Phê Muối Chú Long - Nha Trang," 713,887 "
Cà Phê Muối Chú Long - Phan Thiết," 522,325 "
Cà Phê Muối Chú Long - Phan Văn Trị," 526,021 "
Cà Phê Muối Chú Long - Quảng Ngãi," 212,118 "
Cà Phê Muối Chú Long - Tây Ninh," 40,657 "
Cà Phê Muối Chú Long - Thanh Nhàn," 1,776,025 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 258,338 "
Cà Phê Muối Chú Long - Thuận An," 239,363 "
Cà Phê Muối Chú Long - Tiền Giang," 155,665 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 1,663,024 "
Cà Phê Muối Chú Long - Trà Vinh," 97,998 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 208,146 "
Cà Phê Muối Chú Long - Trương Định," 1,541,708 "
Cà Phê Muối Chú Long - Vĩnh Long," 130,337 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 704,726 "
Cà Phê Muối Chú Long - Vũng Tàu," 238,336 "
Grand Total," 26,688,269 "
