Row Labels,Sum of Thực thu,
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,"1,322,270",
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,"578,024",
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,"2,295,958",
Cà Phê Muối Chú Long - 417 Cộng Hoà,"3,022,544",
Cà Phê Muối Chú Long - An Dương Vương,"2,989,159",
Cà Phê Muối Chú Long - Bà Triệu,"742,997",
Cà Phê Muối Chú Long - Bạch Đằng,"900,476",
Cà Phê Muối Chú Long - Bến Tre,"332,510",
Cà Phê Muối Chú Long - Bình Long,"4,851,985",
Cà Phê Muối Chú Long - Cà Mau,"915,438",
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,"1,646,706",
Cà Phê Muối Chú Long - Cần Thơ,"1,141,144",
Cà Phê Muối Chú Long - Classic,"1,977,552",
Cà Phê Muối Chú Long - Công Trường Quốc Tế,"3,565,969",
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,"1,379,762",
Cà Phê Muối Chú Long - Đoàn Thị Điểm,"319,003",
Cà Phê Muối Chú Long - Đội Cấn,"6,387,585",
Cà Phê Muối Chú Long - Đồng Xoài,"447,607",
Cà Phê Muối Chú Long - Đường Láng,"9,419,952",
Cà Phê Muối Chú Long - Hà Huy Giáp,"3,595,148",
Cà Phê Muối Chú Long - Hậu Giang,"4,480,796",
Cà Phê Muối Chú Long - Hoàng Diệu,"531,168",
Cà Phê Muối Chú Long - Hùng Vương,"138,640",
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,"3,112,421",
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,"2,568,148",
Cà Phê Muối Chú Long - Kha Vạn Cân,"3,048,798",
Cà Phê Muối Chú Long - Kiên Giang,"878,241",
Cà Phê Muối Chú Long - Lạc Long Quân,"2,653,698",
Cà Phê Muối Chú Long - Lê Duẩn,"711,309",
Cà Phê Muối Chú Long - Long An,"662,641",
Cà Phê Muối Chú Long - Long Xuyên,"522,115",
Cà Phê Muối Chú Long - Ngô Tất Tố,"1,296,709",
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,"4,875,308",
Cà Phê Muối Chú Long - Nguyễn Huệ,"2,930,985",
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,"2,891,897",
Cà Phê Muối Chú Long - Nha Trang,"2,545,860",
Cà Phê Muối Chú Long - Phan Thiết,"1,883,873",
Cà Phê Muối Chú Long - Phan Văn Trị,"2,749,871",
Cà Phê Muối Chú Long - Quảng Ngãi,"870,882",
Cà Phê Muối Chú Long - Tây Ninh,"258,040",
Cà Phê Muối Chú Long - Thanh Nhàn,"11,378,110",
Cà Phê Muối Chú Long - Thích Quảng Đức,"837,877",
Cà Phê Muối Chú Long - Thuận An,"683,958",
Cà Phê Muối Chú Long - Tiền Giang,"441,572",
Cà Phê Muối Chú Long - Tôn Đức Thắng,"9,916,738",
Cà Phê Muối Chú Long - Trà Vinh,"499,405",
Cà Phê Muối Chú Long - Trần Hưng Đạo,"300,670",
Cà Phê Muối Chú Long - Trương Định,"10,100,948",
Cà Phê Muối Chú Long - Vĩnh Long,"775,554",
Cà Phê Muối Chú Long - Võ Văn Kiệt,"3,608,091",
Cà Phê Muối Chú Long - Vũng Tàu,"854,099",
(blank),,
Grand Total," 126,840,211 ","258,000,000"
," 131,159,789 ",
,,
,"94,160,809"," 131,159,789 "
," (36,998,980)",
