Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,480618
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,412335
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1671151
Cà Phê Muối Chú Long - 417 Cộng Hoà,2900365
Cà Phê Muối Chú Long - An Dương Vương,2713390
Cà Phê Muối Chú Long - Bà Triệu,899649
Cà Phê Muối Chú Long - Bạch Đằng,536147
Cà Phê Muối Chú Long - Bến Tre,118268
Cà Phê Muối Chú Long - Bình Long,3806413
Cà Phê Muối Chú Long - Cà Mau,338960
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,840518
Cà Phê Muối Chú Long - Cần Thơ,898423
Cà Phê Muối Chú Long - Classic,1507988
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1732453
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1635386
Cà Phê Muối Chú Long - Đoàn Thị Điểm,445344
Cà Phê Muối Chú Long - Đội Cấn,3136681
Cà Phê Muối Chú Long - Đồng Xoài,602319
Cà Phê Muối Chú Long - Đường Láng,6067626
Cà Phê Muối Chú Long - Hà Huy Giáp,3502385
Cà Phê Muối Chú Long - Hậu Giang,4402837
Cà Phê Muối Chú Long - Hoàng Diệu,677126
Cà Phê Muối Chú Long - Hùng Vương,368575
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1587496
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2147544
Cà Phê Muối Chú Long - Kha Vạn Cân,2090863
Cà Phê Muối Chú Long - Kiên Giang,223898
Cà Phê Muối Chú Long - Lạc Long Quân,1977138
Cà Phê Muối Chú Long - Lê Duẩn,691388
Cà Phê Muối Chú Long - Long An,790058
Cà Phê Muối Chú Long - Long Xuyên,127548
Cà Phê Muối Chú Long - Ngô Tất Tố,1126096
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4315609
Cà Phê Muối Chú Long - Nguyễn Huệ,2379401
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1411639
Cà Phê Muối Chú Long - Nha Trang,2478380
Cà Phê Muối Chú Long - Phan Thiết,1835282
Cà Phê Muối Chú Long - Phan Văn Trị,1907904
Cà Phê Muối Chú Long - Quảng Ngãi,747219
Cà Phê Muối Chú Long - Tây Ninh,177120
Cà Phê Muối Chú Long - Thanh Nhàn,7376493
Cà Phê Muối Chú Long - Thích Quảng Đức,808487
Cà Phê Muối Chú Long - Thuận An,660284
Cà Phê Muối Chú Long - Tiền Giang,674184
Cà Phê Muối Chú Long - Tôn Đức Thắng,6001229
Cà Phê Muối Chú Long - Trà Vinh,303084
Cà Phê Muối Chú Long - Trần Hưng Đạo,548335
Cà Phê Muối Chú Long - Trương Định,8006213
Cà Phê Muối Chú Long - Vĩnh Long,268413
Cà Phê Muối Chú Long - Võ Văn Kiệt,2911440
Cà Phê Muối Chú Long - Vũng Tàu,893107
(blank),
Grand Total,94160809
