Row Labels, Sum of PHÍ QUẢNG CÁO  
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 412,568 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 84,819 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 760,491 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 1,109,656 "
Cà Phê Muối Chú Long - An Dương Vương," 844,585 "
Cà Phê Muối Chú Long - Bà Rịa," 53,314 "
Cà Phê Muối Chú Long - Bà Triệu," 331,236 "
Cà Phê Muối Chú Long - Bạch Đằng," 216,578 "
Cà Phê Muối Chú Long - Bến Tre," 65,898 "
Cà Phê Muối Chú Long - Bình Long," 1,579,490 "
Cà Phê Muối Chú Long - Cà Mau," 91,878 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 357,341 "
Cà Phê Muối Chú Long - Cần Thơ," 286,509 "
Cà Phê Muối Chú Long - Classic," 610,788 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 426,847 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 439,905 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 130,899 "
Cà Phê Muối Chú Long - Đội Cấn," 1,538,357 "
Cà Phê Muối Chú Long - Đồng Xoài," 249,044 "
Cà Phê Muối Chú Long - Đường Láng," 2,528,900 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 1,372,875 "
Cà Phê Muối Chú Long - Hậu Giang," 1,606,376 "
Cà Phê Muối Chú Long - Hoàng Diệu," 280,065 "
Cà Phê Muối Chú Long - Hùng Vương," 67,944 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 1,531,985 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 1,106,766 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 983,100 "
Cà Phê Muối Chú Long - Kiên Giang," 49,051 "
Cà Phê Muối Chú Long - Lạc Long Quân," 799,754 "
Cà Phê Muối Chú Long - Lê Duẩn," 337,877 "
Cà Phê Muối Chú Long - Long An," 338,243 "
Cà Phê Muối Chú Long - Long Xuyên," 124,286 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 308,921 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 1,280,969 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 1,169,809 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 612,159 "
Cà Phê Muối Chú Long - Nha Trang," 1,047,969 "
Cà Phê Muối Chú Long - Phan Thiết," 728,523 "
Cà Phê Muối Chú Long - Phan Văn Trị," 1,004,298 "
Cà Phê Muối Chú Long - Quảng Ngãi," 209,769 "
Cà Phê Muối Chú Long - Tây Ninh," 71,919 "
Cà Phê Muối Chú Long - Thanh Nhàn," 2,773,107 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 310,299 "
Cà Phê Muối Chú Long - Thuận An," 396,062 "
Cà Phê Muối Chú Long - Tiền Giang," 162,833 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 2,098,329 "
Cà Phê Muối Chú Long - Trà Vinh," 114,712 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 301,850 "
Cà Phê Muối Chú Long - Trương Định," 1,656,932 "
Cà Phê Muối Chú Long - Vĩnh Long," 146,105 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 1,100,685 "
Cà Phê Muối Chú Long - Vũng Tàu," 786,306 "
(blank), -   
Grand Total," 36,998,980 "
