Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,930854
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,345071
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1605730
Cà Phê Muối Chú Long - 417 Cộng Hoà,2372730
Cà Phê Muối Chú Long - An Dương Vương,3001081
Cà Phê Muối Chú Long - Bà Rịa,36782
Cà Phê Muối Chú Long - Bà Triệu,940691
Cà Phê Muối Chú Long - Bạch Đằng,1054796
Cà Phê Muối Chú Long - Bến Tre,366969
Cà Phê Muối Chú Long - Bình Long,4091587
Cà Phê Muối Chú Long - Cà Mau,130792
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1684020
Cà Phê Muối Chú Long - Cần Thơ,1485409
Cà Phê Muối Chú Long - Classic,1884497
Cà Phê Muối Chú Long - Công Trường Quốc Tế,3244126
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1236451
Cà Phê Muối Chú Long - Đoàn Thị Điểm,154295
Cà Phê Muối Chú Long - Đội Cấn,7774809
Cà Phê Muối Chú Long - Đồng Xoài,424747
Cà Phê Muối Chú Long - Đường Láng,9569532
Cà Phê Muối Chú Long - Hà Huy Giáp,3930723
Cà Phê Muối Chú Long - Hậu Giang,4361047
Cà Phê Muối Chú Long - Hoàng Diệu,508006
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2519150
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2813160
Cà Phê Muối Chú Long - Kha Vạn Cân,2650111
Cà Phê Muối Chú Long - Kiên Giang,654982
Cà Phê Muối Chú Long - Lạc Long Quân,3200044
Cà Phê Muối Chú Long - Lê Duẩn,1275922
Cà Phê Muối Chú Long - Long An,828692
Cà Phê Muối Chú Long - Long Xuyên,545265
Cà Phê Muối Chú Long - Ngô Tất Tố,1166862
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5224267
Cà Phê Muối Chú Long - Nguyễn Huệ,3615092
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2203495
Cà Phê Muối Chú Long - Nha Trang,3048335
Cà Phê Muối Chú Long - Phan Thiết,2310597
Cà Phê Muối Chú Long - Phan Văn Trị,2081619
Cà Phê Muối Chú Long - Quảng Ngãi,529095
Cà Phê Muối Chú Long - Tây Ninh,125661
Cà Phê Muối Chú Long - Thanh Nhàn,10163580
Cà Phê Muối Chú Long - Thích Quảng Đức,660793
Cà Phê Muối Chú Long - Thuận An,1308135
Cà Phê Muối Chú Long - Tiền Giang,209205
Cà Phê Muối Chú Long - Tôn Đức Thắng,11007414
Cà Phê Muối Chú Long - Trà Vinh,178553
Cà Phê Muối Chú Long - Trần Hưng Đạo,713532
Cà Phê Muối Chú Long - Trương Định,9743957
Cà Phê Muối Chú Long - Vĩnh Long,334565
Cà Phê Muối Chú Long - Võ Văn Kiệt,4264438
Cà Phê Muối Chú Long - Vũng Tàu,768234
(blank),
Grand Total,125279500
