Row Labels,Sum of Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,844138
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,126284
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1216331
Cà Phê Muối Chú Long - 417 Cộng Hoà,2738667
Cà Phê Muối Chú Long - An Dương Vương,3208739
Cà Phê Muối Chú Long - Bà Rịa,230903
Cà Phê Muối Chú Long - Bà Triệu,643645
Cà Phê Muối Chú Long - Bạch Đằng,1064979
Cà Phê Muối Chú Long - Bến Tre,150296
Cà Phê Muối Chú Long - Bình Long,5329875
Cà Phê Muối Chú Long - Cà Mau,290903
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1585004
Cà Phê Muối Chú Long - Cần Thơ,1347581
Cà Phê Muối Chú Long - Classic,2791987
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1595266
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,2072465
Cà Phê Muối Chú Long - Đoàn Thị Điểm,326283
Cà Phê Muối Chú Long - Đội Cấn,5534540
Cà Phê Muối Chú Long - Đồng Xoài,692878
Cà Phê Muối Chú Long - Đường Láng,7738113
Cà Phê Muối Chú Long - Hà Huy Giáp,3563179
Cà Phê Muối Chú Long - Hậu Giang,4329529
Cà Phê Muối Chú Long - Hoàng Diệu,842438
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2701185
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3591728
Cà Phê Muối Chú Long - Kha Vạn Cân,2193185
Cà Phê Muối Chú Long - Kiên Giang,712084
Cà Phê Muối Chú Long - Lạc Long Quân,2174674
Cà Phê Muối Chú Long - Lê Duẩn,919156
Cà Phê Muối Chú Long - Long An,580158
Cà Phê Muối Chú Long - Long Xuyên,255247
Cà Phê Muối Chú Long - Ngô Tất Tố,855630
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4893566
Cà Phê Muối Chú Long - Nguyễn Huệ,3982712
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2551999
Cà Phê Muối Chú Long - Nha Trang,3985200
Cà Phê Muối Chú Long - Phan Thiết,2020146
Cà Phê Muối Chú Long - Phan Văn Trị,3117420
Cà Phê Muối Chú Long - Quảng Ngãi,1009370
Cà Phê Muối Chú Long - Tây Ninh,415428
Cà Phê Muối Chú Long - Thanh Nhàn,8065189
Cà Phê Muối Chú Long - Thích Quảng Đức,479035
Cà Phê Muối Chú Long - Thuận An,1413530
Cà Phê Muối Chú Long - Tiền Giang,405960
Cà Phê Muối Chú Long - Tôn Đức Thắng,7260689
Cà Phê Muối Chú Long - Trà Vinh,434310
Cà Phê Muối Chú Long - Trần Hưng Đạo,556632
Cà Phê Muối Chú Long - Trương Định,8105637
Cà Phê Muối Chú Long - Vĩnh Long,329850
Cà Phê Muối Chú Long - Võ Văn Kiệt,1231925
Cà Phê Muối Chú Long - Vũng Tàu,2020956
Grand Total,343579872
(blank),
Grand Total,458106496
