Row Labels, Sum of PHÍ QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 192,871 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 122,649 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 361,526 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 432,810 "
Cà Phê Muối Chú Long - An Dương Vương," 501,397 "
Cà Phê Muối Chú Long - Bà Rịa," 20,277 "
Cà Phê Muối Chú Long - Bà Triệu," 160,622 "
Cà Phê Muối Chú Long - Bạch Đằng," 187,562 "
Cà Phê Muối Chú Long - Bến Tre," 39,175 "
Cà Phê Muối Chú Long - Bình Long," 824,375 "
Cà Phê Muối Chú Long - Cà Mau," 67,448 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 197,639 "
Cà Phê Muối Chú Long - Cần Thơ," 263,301 "
Cà Phê Muối Chú Long - Classic," 434,228 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 189,045 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 258,067 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 52,776 "
Cà Phê Muối Chú Long - Đội Cấn," 872,963 "
Cà Phê Muối Chú Long - Đồng Xoài," 63,878 "
Cà Phê Muối Chú Long - Đường Láng," 1,212,787 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 551,688 "
Cà Phê Muối Chú Long - Hậu Giang," 732,807 "
Cà Phê Muối Chú Long - Hoàng Diệu," 197,642 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 398,946 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 395,810 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 424,785 "
Cà Phê Muối Chú Long - Kiên Giang," 113,665 "
Cà Phê Muối Chú Long - Lạc Long Quân," 330,794 "
Cà Phê Muối Chú Long - Lê Duẩn," 208,160 "
Cà Phê Muối Chú Long - Long An," 125,412 "
Cà Phê Muối Chú Long - Long Xuyên," 80,400 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 120,615 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 756,621 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 454,399 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 315,706 "
Cà Phê Muối Chú Long - Nha Trang," 567,147 "
Cà Phê Muối Chú Long - Phan Thiết," 424,410 "
Cà Phê Muối Chú Long - Phan Văn Trị," 602,886 "
Cà Phê Muối Chú Long - Quảng Ngãi," 143,329 "
Cà Phê Muối Chú Long - Tây Ninh," 52,952 "
Cà Phê Muối Chú Long - Thanh Nhàn," 1,114,897 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 93,942 "
Cà Phê Muối Chú Long - Thuận An," 136,122 "
Cà Phê Muối Chú Long - Tiền Giang," 108,878 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 1,103,513 "
Cà Phê Muối Chú Long - Trà Vinh," 106,248 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 128,676 "
Cà Phê Muối Chú Long - Trương Định," 1,211,326 "
Cà Phê Muối Chú Long - Vĩnh Long," 67,975 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 507,407 "
Cà Phê Muối Chú Long - Vũng Tàu," 161,323 "
Grand Total," 18,193,876 "
