Row Labels, Sum of Phí quảng cáo 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 64,958 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 22,854 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 87,966 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 155,226 "
Cà Phê Muối Chú Long - 59 Trường Chinh," 57,281 "
Cà Phê Muối Chú Long - An Dương Vương," 184,346 "
Cà Phê Muối Chú Long - Bà Rịa," 3,922 "
Cà Phê Muối Chú Long - Bà Triệu," 67,200 "
Cà Phê Muối Chú Long - Bạch Đằng," 89,071 "
Cà Phê Muối Chú Long - Bến Tre," 10,343 "
Cà Phê Muối Chú Long - Bình Long," 230,867 "
Cà Phê Muối Chú Long - Cà Mau," 16,115 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 77,580 "
Cà Phê Muối Chú Long - Cần Thơ," 68,225 "
Cà Phê Muối Chú Long - Classic," 150,044 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 80,437 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 44,422 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 14,623 "
Cà Phê Muối Chú Long - Đội Cấn," 430,351 "
Cà Phê Muối Chú Long - Đồng Xoài," 15,983 "
Cà Phê Muối Chú Long - Đường Láng," 380,618 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 132,801 "
Cà Phê Muối Chú Long - Hậu Giang," 211,412 "
Cà Phê Muối Chú Long - Hoàng Diệu," 62,190 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 166,987 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 147,388 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 92,163 "
Cà Phê Muối Chú Long - Kiên Giang," 26,553 "
Cà Phê Muối Chú Long - Lạc Long Quân," 103,880 "
Cà Phê Muối Chú Long - Lê Duẩn," 68,446 "
Cà Phê Muối Chú Long - Long An," 23,623 "
Cà Phê Muối Chú Long - Long Xuyên," 10,000 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 57,917 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 195,361 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 259,108 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 105,509 "
Cà Phê Muối Chú Long - Nha Trang," 160,007 "
Cà Phê Muối Chú Long - Phan Thiết," 102,306 "
Cà Phê Muối Chú Long - Phan Văn Trị," 124,305 "
Cà Phê Muối Chú Long - Quảng Ngãi," 50,447 "
Cà Phê Muối Chú Long - Tây Ninh," 16,273 "
Cà Phê Muối Chú Long - Thanh Nhàn," 402,083 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 28,390 "
Cà Phê Muối Chú Long - Thuận An," 87,382 "
Cà Phê Muối Chú Long - Tiền Giang," 21,646 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 423,256 "
Cà Phê Muối Chú Long - Trà Vinh," 21,059 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 36,315 "
Cà Phê Muối Chú Long - Trương Định," 506,275 "
Cà Phê Muối Chú Long - Vĩnh Long," 20,759 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 140,707 "
Cà Phê Muối Chú Long - Vũng Tàu," 73,425 "
(blank),
Grand Total," 6,130,404 "
