Row Labels,Sum of Thực nhận
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1237754.299
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,483150.3264
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,977910.8824
Cà Phê Muối Chú Long - 417 Cộng Hoà,4133802.75
Cà Phê Muối Chú Long - 59 Trường Chinh,908277.1251
Cà Phê Muối Chú Long - An Dương Vương,4656718.352
Cà Phê Muối Chú Long - Bà Rịa,112643.0388
Cà Phê Muối Chú Long - Bà Triệu,940894.3462
Cà Phê Muối Chú Long - Bạch Đằng,1763692.941
Cà Phê Muối Chú Long - Bến Tre,206872.5772
Cà Phê Muối Chú Long - Bình Long,4957010.894
Cà Phê Muối Chú Long - Cà Mau,316137.3154
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1828339.729
Cà Phê Muối Chú Long - Cần Thơ,825461.614
Cà Phê Muối Chú Long - Classic,3856278.259
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1297037.903
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,2004686.64
Cà Phê Muối Chú Long - Đoàn Thị Điểm,312150.4063
Cà Phê Muối Chú Long - Đội Cấn,6693907.92
Cà Phê Muối Chú Long - Đồng Xoài,361501.0257
Cà Phê Muối Chú Long - Đường Láng,6946951.876
Cà Phê Muối Chú Long - Hà Huy Giáp,4010957.187
Cà Phê Muối Chú Long - Hậu Giang,5744006.36
Cà Phê Muối Chú Long - Hoàng Diệu,1154004.445
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3144632.136
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2970609.175
Cà Phê Muối Chú Long - Kha Vạn Cân,3344409.996
Cà Phê Muối Chú Long - Kiên Giang,412398.4058
Cà Phê Muối Chú Long - Lạc Long Quân,2151926.068
Cà Phê Muối Chú Long - Lê Duẩn,1608547.318
Cà Phê Muối Chú Long - Long An,1371333.849
Cà Phê Muối Chú Long - Long Xuyên,196992.9289
Cà Phê Muối Chú Long - Ngô Tất Tố,613486.8218
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,3991667.442
Cà Phê Muối Chú Long - Nguyễn Huệ,4363338.61
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1689692.252
Cà Phê Muối Chú Long - Nha Trang,3320811.418
Cà Phê Muối Chú Long - Phan Thiết,1887308.076
Cà Phê Muối Chú Long - Phan Văn Trị,3835597.001
Cà Phê Muối Chú Long - Quảng Ngãi,924486.682
Cà Phê Muối Chú Long - Tây Ninh,248731.3125
Cà Phê Muối Chú Long - Thanh Nhàn,5717519.035
Cà Phê Muối Chú Long - Thích Quảng Đức,690018.1414
Cà Phê Muối Chú Long - Thuận An,1734360.682
Cà Phê Muối Chú Long - Tiền Giang,320054.6964
Cà Phê Muối Chú Long - Tôn Đức Thắng,7481665.337
Cà Phê Muối Chú Long - Trà Vinh,362884.9194
Cà Phê Muối Chú Long - Trần Hưng Đạo,967853.1281
Cà Phê Muối Chú Long - Trương Định,9262981.255
Cà Phê Muối Chú Long - Vĩnh Long,651679.62
Cà Phê Muối Chú Long - Võ Văn Kiệt,2798617.766
Cà Phê Muối Chú Long - Vũng Tàu,860764.7127
(blank),
Grand Total,122654517
