Row Labels,Sum of Phí quảng cáo
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,101552.9852
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,44056.52262
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,93395.06748
Cà Phê Muối Chú Long - 417 Cộng Hoà,213897.3859
Cà Phê Muối Chú Long - 59 Trường Chinh,52247.31493
Cà Phê Muối Chú Long - An Dương Vương,247183.7979
Cà Phê Muối Chú Long - Bà Rịa,6477.784092
Cà Phê Muối Chú Long - Bà Triệu,79563.38328
Cà Phê Muối Chú Long - Bạch Đằng,159345.7427
Cà Phê Muối Chú Long - Bến Tre,19248.4501
Cà Phê Muối Chú Long - Bình Long,416956.0901
Cà Phê Muối Chú Long - Cà Mau,34411.55692
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,126740.4563
Cà Phê Muối Chú Long - Cần Thơ,125812.6298
Cà Phê Muối Chú Long - Classic,275055.631
Cà Phê Muối Chú Long - Công Trường Quốc Tế,71010.97002
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,115368.6553
Cà Phê Muối Chú Long - Đoàn Thị Điểm,37969.91844
Cà Phê Muối Chú Long - Đội Cấn,286813.4621
Cà Phê Muối Chú Long - Đồng Xoài,36099.02733
Cà Phê Muối Chú Long - Đường Láng,391659.5542
Cà Phê Muối Chú Long - Hà Huy Giáp,285795.195
Cà Phê Muối Chú Long - Hậu Giang,379670.0487
Cà Phê Muối Chú Long - Hoàng Diệu,64359.289
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,265997.3294
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,138434.6545
Cà Phê Muối Chú Long - Kha Vạn Cân,193621.2861
Cà Phê Muối Chú Long - Kiên Giang,26929.19178
Cà Phê Muối Chú Long - Lạc Long Quân,164858.099
Cà Phê Muối Chú Long - Lê Duẩn,75548.51587
Cà Phê Muối Chú Long - Long An,61773.97428
Cà Phê Muối Chú Long - Long Xuyên,22109.46024
Cà Phê Muối Chú Long - Ngô Tất Tố,56314.95106
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,300934.2455
Cà Phê Muối Chú Long - Nguyễn Huệ,290710.4464
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,79873.29371
Cà Phê Muối Chú Long - Nha Trang,165817.9536
Cà Phê Muối Chú Long - Phan Thiết,189462.9978
Cà Phê Muối Chú Long - Phan Văn Trị,204052.9855
Cà Phê Muối Chú Long - Quảng Ngãi,58982.94619
Cà Phê Muối Chú Long - Tây Ninh,12947.52589
Cà Phê Muối Chú Long - Thanh Nhàn,406141.6764
Cà Phê Muối Chú Long - Thích Quảng Đức,65866.58385
Cà Phê Muối Chú Long - Thuận An,89367.07843
Cà Phê Muối Chú Long - Tôn Đức Thắng,445194.2002
Cà Phê Muối Chú Long - Trà Vinh,37079.69314
Cà Phê Muối Chú Long - Trần Hưng Đạo,73950.9216
Cà Phê Muối Chú Long - Trương Định,440861.239
Cà Phê Muối Chú Long - Vĩnh Long,52159.34354
Cà Phê Muối Chú Long - Võ Văn Kiệt,170400.4375
Cà Phê Muối Chú Long - Vũng Tàu,227582.0514
(blank),
Grand Total,7981664
