Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1299941
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,639008
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2450328
Cà Phê Muối Chú Long - 417 Cộng Hoà,2521156
Cà Phê Muối Chú Long - 59 Trường Chinh,875072
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,854719
Cà Phê Muối Chú Long - An Dương Vương,3192551
Cà Phê Muối Chú Long - Bà Rịa,42063
Cà Phê Muối Chú Long - Bà Triệu,976436
Cà Phê Muối Chú Long - Bạch Đằng,1313740
Cà Phê Muối Chú Long - Bến Tre,148636
Cà Phê Muối Chú Long - Bình Long,4859779
Cà Phê Muối Chú Long - Cà Mau,310667
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1843513
Cà Phê Muối Chú Long - Cần Thơ,970068
Cà Phê Muối Chú Long - Classic,3087838
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2226695
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,2085528
Cà Phê Muối Chú Long - Đoàn Thị Điểm,161181
Cà Phê Muối Chú Long - Đội Cấn,8195247
Cà Phê Muối Chú Long - Đồng Xoài,1005055
Cà Phê Muối Chú Long - Đường Láng,7949573
Cà Phê Muối Chú Long - Hà Huy Giáp,3958976
Cà Phê Muối Chú Long - Hậu Giang,5309840
Cà Phê Muối Chú Long - Hoàng Diệu,1180438
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3141858
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3347691
Cà Phê Muối Chú Long - Kha Vạn Cân,2397669
Cà Phê Muối Chú Long - Kiên Giang,508024
Cà Phê Muối Chú Long - Lạc Long Quân,1937517
Cà Phê Muối Chú Long - Lê Duẩn,1292959
Cà Phê Muối Chú Long - Long An,1229836
Cà Phê Muối Chú Long - Long Xuyên,342751
Cà Phê Muối Chú Long - Ngô Tất Tố,1844356
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5670429
Cà Phê Muối Chú Long - Nguyễn Huệ,5923902
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1914075
Cà Phê Muối Chú Long - Nha Trang,3565738
Cà Phê Muối Chú Long - Phan Thiết,1814003
Cà Phê Muối Chú Long - Phan Văn Trị,2257138
Cà Phê Muối Chú Long - Quảng Ngãi,783272
Cà Phê Muối Chú Long - Tây Ninh,387022
Cà Phê Muối Chú Long - Thanh Nhàn,10694887
Cà Phê Muối Chú Long - Thích Quảng Đức,692335
Cà Phê Muối Chú Long - Thuận An,1886547
Cà Phê Muối Chú Long - Tôn Đức Thắng,7788739
Cà Phê Muối Chú Long - Trà Vinh,1081393
Cà Phê Muối Chú Long - Trần Hưng Đạo,649402
Cà Phê Muối Chú Long - Trương Định,10206119
Cà Phê Muối Chú Long - Vĩnh Long,678791
Cà Phê Muối Chú Long - Võ Văn Kiệt,3126873
Cà Phê Muối Chú Long - Vũng Tàu,662076
(blank),
Grand Total,133283450
