Row Labels, Sum of Thực thu 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 1,387,962 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 273,281 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 1,742,282 "
Cà Phê Muối Chú Long - 3/26 Quang Trung," 1,404,997 "
Cà Phê Muối Chú Long - 368 Lê Đức Thọ," 1,186,834 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 2,905,271 "
Cà Phê Muối Chú Long - 585 Quang Trung," 5,458,810 "
Cà Phê Muối Chú Long - 59 Trường Chinh," 1,111,895 "
Cà Phê Muối Chú Long - 82 Ngô Gia Tự," 128,190 "
Cà Phê Muối Chú Long - An Dương Vương," 3,591,776 "
Cà Phê Muối Chú Long - Bà Rịa," 145,279 "
Cà Phê Muối Chú Long - Bà Triệu," 967,498 "
Cà Phê Muối Chú Long - Bạch Đằng," 1,076,675 "
Cà Phê Muối Chú Long - Bến Tre," 277,655 "
Cà Phê Muối Chú Long - Bình Long," 4,304,873 "
Cà Phê Muối Chú Long - Cà Mau," 198,963 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 1,837,054 "
Cà Phê Muối Chú Long - Cần Thơ," 1,220,996 "
Cà Phê Muối Chú Long - Classic," 2,212,662 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 2,021,014 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 1,357,161 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 71,904 "
Cà Phê Muối Chú Long - Đội Cấn," 8,114,418 "
Cà Phê Muối Chú Long - Đồng Xoài," 252,937 "
Cà Phê Muối Chú Long - Đường Láng," 8,354,674 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 3,828,912 "
Cà Phê Muối Chú Long - Hậu Giang," 4,359,986 "
Cà Phê Muối Chú Long - Hoàng Diệu," 843,199 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 3,533,860 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 3,104,640 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 2,028,590 "
Cà Phê Muối Chú Long - Kiên Giang," 367,813 "
Cà Phê Muối Chú Long - Lạc Long Quân," 1,909,601 "
Cà Phê Muối Chú Long - Lê Duẩn," 652,644 "
Cà Phê Muối Chú Long - Lê Văn Sỹ," 3,745,464 "
Cà Phê Muối Chú Long - Lê Văn Việt," 1,639,194 "
Cà Phê Muối Chú Long - Long An," 801,167 "
Cà Phê Muối Chú Long - Long Xuyên," 531,305 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 1,440,271 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 5,462,894 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 4,228,257 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 2,459,749 "
Cà Phê Muối Chú Long - Nha Trang," 3,324,891 "
Cà Phê Muối Chú Long - Phan Thiết," 1,843,815 "
Cà Phê Muối Chú Long - Phan Văn Trị," 2,355,015 "
Cà Phê Muối Chú Long - Quảng Ngãi," 801,280 "
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý," 4,571,726 "
Cà Phê Muối Chú Long - Tây Ninh," 196,705 "
Cà Phê Muối Chú Long - Thanh Nhàn," 10,218,818 "
Cà Phê Muối Chú Long - Thành Thái," 5,340,991 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 414,373 "
Cà Phê Muối Chú Long - Thuận An," 1,505,855 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 10,313,180 "
Cà Phê Muối Chú Long - Trà Vinh," 344,995 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 411,279 "
Cà Phê Muối Chú Long - Trương Định," 8,634,187 "
Cà Phê Muối Chú Long - Vĩnh Long," 490,305 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 3,685,895 "
Cà Phê Muối Chú Long - Vũng Tàu," 872,002 "
(blank),
Grand Total," 147,867,919 "
