Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1472472
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,522672
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2144685
Cà Phê Muối Chú Long - 3/26 Quang Trung,1819220
Cà Phê Muối Chú Long - 35 Trần Phú,344435
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,467038
Cà Phê Muối Chú Long - 417 Cộng Hoà,2607741
Cà Phê Muối Chú Long - 585 Quang Trung,5510138
Cà Phê Muối Chú Long - 59 Trường Chinh,3166589
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,704975
Cà Phê Muối Chú Long - An Dương Vương,2777826
Cà Phê Muối Chú Long - Bà Triệu,820077
Cà Phê Muối Chú Long - Bạch Đằng,1635023
Cà Phê Muối Chú Long - Bến Tre,203489
Cà Phê Muối Chú Long - Bình Long,5916348
Cà Phê Muối Chú Long - Cà Mau,226730
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1547219
Cà Phê Muối Chú Long - Cần Thơ,1464142
Cà Phê Muối Chú Long - Classic,3613054
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1804250
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1565552
Cà Phê Muối Chú Long - Đoàn Thị Điểm,457944
Cà Phê Muối Chú Long - Đội Cấn,8563156
Cà Phê Muối Chú Long - Đồng Xoài,818502
Cà Phê Muối Chú Long - Đường Láng,7973662
Cà Phê Muối Chú Long - Hà Huy Giáp,5062272
Cà Phê Muối Chú Long - Hậu Giang,4959848
Cà Phê Muối Chú Long - Hoàng Diệu,2075550
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2668141
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3325425
Cà Phê Muối Chú Long - Kha Vạn Cân,2420750
Cà Phê Muối Chú Long - Kiên Giang,745288
Cà Phê Muối Chú Long - Lạc Long Quân,3056148
Cà Phê Muối Chú Long - Lê Duẩn,1518191
Cà Phê Muối Chú Long - Lê Văn Sỹ,3795407
Cà Phê Muối Chú Long - Lê Văn Việt,2132394
Cà Phê Muối Chú Long - Long An,616476
Cà Phê Muối Chú Long - Long Xuyên,482477
Cà Phê Muối Chú Long - Ngô Tất Tố,1667290
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,7636127
Cà Phê Muối Chú Long - Nguyễn Huệ,4633065
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,3672462
Cà Phê Muối Chú Long - Nha Trang,3808360
Cà Phê Muối Chú Long - Phan Thiết,2518304
Cà Phê Muối Chú Long - Phan Văn Trị,2511891
Cà Phê Muối Chú Long - Quảng Ngãi,1006171
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,4399913
Cà Phê Muối Chú Long - Tây Ninh,130027
Cà Phê Muối Chú Long - Thanh Nhàn,10032718
Cà Phê Muối Chú Long - Thành Thái,8136017
Cà Phê Muối Chú Long - Thích Quảng Đức,1086190
Cà Phê Muối Chú Long - Thuận An,1644050
Cà Phê Muối Chú Long - Tôn Đức Thắng,8332468
Cà Phê Muối Chú Long - Trà Vinh,609605
Cà Phê Muối Chú Long - Trần Hưng Đạo,1067657
Cà Phê Muối Chú Long - Trương Định,9853798
Cà Phê Muối Chú Long - Vĩnh Long,676529
Cà Phê Muối Chú Long - Võ Văn Kiệt,3632678
Cà Phê Muối Chú Long - Vũng Tàu,1435435
(blank),
Grand Total,169496061
