Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1724719
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,384029
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2101981
Cà Phê Muối Chú Long - 3/26 Quang Trung,1549136
Cà Phê Muối Chú Long - 35 Trần Phú,634859
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,854852
Cà Phê Muối Chú Long - 417 Cộng Hoà,2951011
Cà Phê Muối Chú Long - 585 Quang Trung,5713103
Cà Phê Muối Chú Long - 59 Trường Chinh,2329309
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,276412
Cà Phê Muối Chú Long - An Dương Vương,3628496
Cà Phê Muối Chú Long - Bà Rịa,79675
Cà Phê Muối Chú Long - Bà Triệu,1110416
Cà Phê Muối Chú Long - Bạch Đằng,1472801
Cà Phê Muối Chú Long - Bến Tre,284469
Cà Phê Muối Chú Long - Bình Long,4438892
Cà Phê Muối Chú Long - Cà Mau,416032
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,2199811
Cà Phê Muối Chú Long - Cần Thơ,1603981
Cà Phê Muối Chú Long - Classic,3266669
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2543322
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1048649
Cà Phê Muối Chú Long - Đoàn Thị Điểm,330626
Cà Phê Muối Chú Long - Đội Cấn,7331111
Cà Phê Muối Chú Long - Đồng Xoài,315828
Cà Phê Muối Chú Long - Đường Láng,7961423
Cà Phê Muối Chú Long - Hà Huy Giáp,4106192
Cà Phê Muối Chú Long - Hậu Giang,4989630
Cà Phê Muối Chú Long - Hoàng Diệu,1143272
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3897679
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2664251
Cà Phê Muối Chú Long - Kha Vạn Cân,2379750
Cà Phê Muối Chú Long - Kiên Giang,645742
Cà Phê Muối Chú Long - Lạc Long Quân,2007119
Cà Phê Muối Chú Long - Lê Duẩn,1155712
Cà Phê Muối Chú Long - Lê Văn Sỹ,4600155
Cà Phê Muối Chú Long - Lê Văn Việt,2432714
Cà Phê Muối Chú Long - Long An,383263
Cà Phê Muối Chú Long - Long Xuyên,276738
Cà Phê Muối Chú Long - Ngô Tất Tố,1040303
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5541435
Cà Phê Muối Chú Long - Nguyễn Huệ,5497029
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,2947126
Cà Phê Muối Chú Long - Nha Trang,3031249
Cà Phê Muối Chú Long - Phan Thiết,2747499
Cà Phê Muối Chú Long - Phan Văn Trị,2763272
Cà Phê Muối Chú Long - Quảng Ngãi,812184
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,3906675
Cà Phê Muối Chú Long - Tây Ninh,185420
Cà Phê Muối Chú Long - Thanh Nhàn,8584093
Cà Phê Muối Chú Long - Thành Thái,7137993
Cà Phê Muối Chú Long - Thích Quảng Đức,694084
Cà Phê Muối Chú Long - Thuận An,911254
Cà Phê Muối Chú Long - Tôn Đức Thắng,7656047
Cà Phê Muối Chú Long - Trà Vinh,334810
Cà Phê Muối Chú Long - Trần Hưng Đạo,911554
Cà Phê Muối Chú Long - Trương Định,8207111
Cà Phê Muối Chú Long - Vĩnh Long,685700
Cà Phê Muối Chú Long - Võ Văn Kiệt,4485154
Cà Phê Muối Chú Long - Vũng Tàu,1276146
(blank),
Grand Total,156589967
