Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 101 Hùng Vương,43762
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,813860
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,568234
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1597496
Cà Phê Muối Chú Long - 3/26 Quang Trung,1933615
Cà Phê Muối Chú Long - 35 Trần Phú,143355
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,1011493
Cà Phê Muối Chú Long - 417 Cộng Hoà,1993239
Cà Phê Muối Chú Long - 585 Quang Trung,4165488
Cà Phê Muối Chú Long - 59 Trường Chinh,1358501
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,288222
Cà Phê Muối Chú Long - An Dương Vương,2135683
Cà Phê Muối Chú Long - Bà Rịa,73187
Cà Phê Muối Chú Long - Bà Triệu,843295
Cà Phê Muối Chú Long - Bạch Đằng,806720
Cà Phê Muối Chú Long - Bến Tre,357921
Cà Phê Muối Chú Long - Bình Long,4170469
Cà Phê Muối Chú Long - Cà Mau,641851
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1025903
Cà Phê Muối Chú Long - Cần Thơ,1103050
Cà Phê Muối Chú Long - Classic,2189662
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1031603
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1586498
Cà Phê Muối Chú Long - Đoàn Thị Điểm,390082
Cà Phê Muối Chú Long - Đội Cấn,5250052
Cà Phê Muối Chú Long - Đồng Xoài,248989
Cà Phê Muối Chú Long - Đường Láng,6244588
Cà Phê Muối Chú Long - Hà Huy Giáp,3709872
Cà Phê Muối Chú Long - Hậu Giang,5182704
Cà Phê Muối Chú Long - Hoàng Diệu,1098557
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1997364
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3093607
Cà Phê Muối Chú Long - Kha Vạn Cân,1833107
Cà Phê Muối Chú Long - Kiên Giang,506800
Cà Phê Muối Chú Long - Lạc Long Quân,2441368
Cà Phê Muối Chú Long - Lê Duẩn,772389
Cà Phê Muối Chú Long - Lê Văn Sỹ,3372870
Cà Phê Muối Chú Long - Lê Văn Việt,2309894
Cà Phê Muối Chú Long - Long An,583914
Cà Phê Muối Chú Long - Long Xuyên,281705
Cà Phê Muối Chú Long - Ngô Tất Tố,788384
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4187549
Cà Phê Muối Chú Long - Nguyễn Huệ,2399993
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1681227
Cà Phê Muối Chú Long - Nha Trang,2622425
Cà Phê Muối Chú Long - Phan Thiết,2617092
Cà Phê Muối Chú Long - Phan Văn Trị,2760788
Cà Phê Muối Chú Long - Quảng Ngãi,1039408
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,2787347
Cà Phê Muối Chú Long - Tây Ninh,468376
Cà Phê Muối Chú Long - Thanh Nhàn,7005660
Cà Phê Muối Chú Long - Thành Thái,4070169
Cà Phê Muối Chú Long - Thích Quảng Đức,786969
Cà Phê Muối Chú Long - Thuận An,984572
Cà Phê Muối Chú Long - Tôn Đức Thắng,5574873
Cà Phê Muối Chú Long - Trà Vinh,661552
Cà Phê Muối Chú Long - Trần Hưng Đạo,627674
Cà Phê Muối Chú Long - Trương Định,5132330
Cà Phê Muối Chú Long - Vĩnh Long,534086
Cà Phê Muối Chú Long - Võ Văn Kiệt,2521188
Cà Phê Muối Chú Long - Vũng Tàu,2153342
(blank),
Grand Total,120605973
