Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 01 Hàng Đậu,1758746
Cà Phê Muối Chú Long - 117 Lò Đúc,301047
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1413635
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,353221
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,1583604
Cà Phê Muối Chú Long - 3/26 Quang Trung,1825658
Cà Phê Muối Chú Long - 35 Trần Phú,477484
Cà Phê Muối Chú Long - 368 Lê Đức Thọ,1713018
Cà Phê Muối Chú Long - 417 Cộng Hoà,2589247
Cà Phê Muối Chú Long - 585 Quang Trung,5428214
Cà Phê Muối Chú Long - 59 Trường Chinh,1637110
Cà Phê Muối Chú Long - 82 Ngô Gia Tự,364710
Cà Phê Muối Chú Long - An Dương Vương,3113977
Cà Phê Muối Chú Long - Bà Rịa,288636
Cà Phê Muối Chú Long - Bà Triệu,480767
Cà Phê Muối Chú Long - Bạch Đằng,1241382
Cà Phê Muối Chú Long - Bến Tre,348972
Cà Phê Muối Chú Long - Bình Long,4970043
Cà Phê Muối Chú Long - Cà Mau,273319
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1853358
Cà Phê Muối Chú Long - Cần Thơ,662637
Cà Phê Muối Chú Long - Classic,1785766
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1108080
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1523060
Cà Phê Muối Chú Long - Đoàn Thị Điểm,88504
Cà Phê Muối Chú Long - Đội Cấn,5332857
Cà Phê Muối Chú Long - Đồng Xoài,400074
Cà Phê Muối Chú Long - Đường Láng,5240067
Cà Phê Muối Chú Long - Hà Huy Giáp,3833793
Cà Phê Muối Chú Long - Hậu Giang,5604246
Cà Phê Muối Chú Long - Hoàng Diệu,1498851
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3423130
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,1953485
Cà Phê Muối Chú Long - Kha Vạn Cân,2376770
Cà Phê Muối Chú Long - Kiên Giang,443457
Cà Phê Muối Chú Long - Lạc Long Quân,2796961
Cà Phê Muối Chú Long - Lê Duẩn,968852
Cà Phê Muối Chú Long - Lê Văn Sỹ,3627247
Cà Phê Muối Chú Long - Lê Văn Việt,2636881
Cà Phê Muối Chú Long - Long An,622192
Cà Phê Muối Chú Long - Long Xuyên,443157
Cà Phê Muối Chú Long - Ngô Tất Tố,654006
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4523061
Cà Phê Muối Chú Long - Nguyễn Huệ,2840181
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1241685
Cà Phê Muối Chú Long - Nha Trang,2245115
Cà Phê Muối Chú Long - Phan Thiết,2523267
Cà Phê Muối Chú Long - Phan Văn Trị,3449097
Cà Phê Muối Chú Long - Quảng Ngãi,876690
Cà Phê Muối Chú Long - Tân Kỳ Tân Quý,3708157
Cà Phê Muối Chú Long - Tây Ninh,387143
Cà Phê Muối Chú Long - Thanh Nhàn,6854748
Cà Phê Muối Chú Long - Thành Thái,5634750
Cà Phê Muối Chú Long - Thích Quảng Đức,552674
Cà Phê Muối Chú Long - Thuận An,1513346
Cà Phê Muối Chú Long - Tôn Đức Thắng,6007417
Cà Phê Muối Chú Long - Trà Vinh,229594
Cà Phê Muối Chú Long - Trần Hưng Đạo,880208
Cà Phê Muối Chú Long - Trương Định,4392609
Cà Phê Muối Chú Long - Vĩnh Long,351355
Cà Phê Muối Chú Long - Võ Văn Kiệt,2895700
Cà Phê Muối Chú Long - Vũng Tàu,2844545
(blank),
Grand Total,132991563
