Branches,Trị giá đơn hàng,Khuyến mãi từ người bán,Tổng chiết khấu cho Grab,Phí quảng cáo,Tổng thu nhập
Cà Phê Muối Chú Long - Long Xuyên,207000,-20000,-36717,-324,149959
Cà Phê Muối Chú Long - Bến Tre,816000,-107500,-139111,-324,569065
Cà Phê Muối Chú Long - Long An,504000,-77500,-83741,-18684,324075
Cà Phê Muối Chú Long - Bà Rịa,409000,-96500,-61360,-164036,87104
Cà Phê Muối Chú Long - Mỹ Tho,694000,-112500,-114174,-540,466786
Cà Phê Muối Chú Long - Kiên Giang,112000,-15000,-19045,-216,77739
Cà Phê Muối Chú Long - Tỉnh Lộ 8 Củ Chi,799000,-154750,-158086,-351188,134976
Cà Phê Muối Chú Long - Củ Chi,2031000,-497750,-376223,-351728,805299
Cà Phê Muối Chú Long - Biên Hòa,1186000,-201000,-193394,-93852,697754
Cà Phê Muối Chú Long - Phan Thiết,678000,-86000,-116237,-243000,232763
Cà Phê Muối Chú Long - Lê Duẩn,1993000,-303500,-331719,-176148,1181633
Cà Phê Muối Chú Long - Cần Thơ,3243000,-509500,-536704,-112860,2083936
Cà Phê Muối Chú Long - Quảng Ngãi,1148000,-182500,-189571,-50976,724953
Cà Phê Muối Chú Long - Long Thành,3973000,-564500,-669236,-112644,2626620
Cà Phê Muối Chú Long - Hoàng Diệu,1887000,-306000,-310414,-240624,1029962
Cà Phê Muối Chú Long- Tôn Đức Thắng,9623000,-2071500,-1841922,-361880,5347698
Cà Phê Muối Chú Long - Trần Hưng Đạo,4961000,-714500,-833771,-76356,3336373
Cà Phê Muối Chú Long - Thanh Nhàn,8922000,-2168250,-1657218,-359504,4737028
Cà Phê Muối Chú Long - Võ Văn Kiệt,6791000,-1411250,-1320072,-358100,3701578
Cà Phê Muối Chú Long - Nguyễn An Ninh,2798000,-439500,-463077,-192888,1702535
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,5164000,-1027500,-1015003,-354968,2766529
Cà Phê Muối Chú Long - Đội Cấn,8354000,-1943000,-1573115,-358856,4479029
Cà Phê Muối Chú Long - TRƯƠNG ĐỊNH,10297000,-2312500,-1959217,-380206,5645077
Cà Phê Muối Chú Long - Vũng Tàu,1568000,-90000,-290204,-345967,841829
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,7760000,-1675500,-1492994,-357560,4233946
Cà Phê Muối Chú Long - Thuận An,6677000,-904500,-1133397,-124740,4514363
Cà Phê Muối Chú Long - Kha Vạn Cân Thủ Đức,5173000,-1143000,-988871,-355508,2685621
Cà Phê Muối Chú Long - Classic,5580000,-1064250,-1087202,-354968,3073580
Cà Phê Muối Chú Long - Nguyễn Huệ,6172000,-1224500,-1214004,-355616,3377880
Cà Phê Muối Chú Long - Đoàn Thị Điểm,0,0,0,0,0
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,6052000,-1085000,-1218788,-354860,3393352
Cà Phê Muối Chú Long - 101 Thích Quảng Đức,3773000,-623500,-618384,-220212,2310904
Cà Phê Muối Chú Long - Đường Láng,14580000,-3319250,-2763124,-390028,8107598
Cà Phê Muối Chú Long - Tây Ninh,1628000,-212500,-277924,-2376,1135200
Cà Phê Muối Chú Long - Bình Long,4406000,-1071250,-818269,-355184,2161297
Cà Phê Muối Chú Long - Cà Mau,324000,-100000,-43982,-55620,124398
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,4307000,-924000,-830111,-352808,2200081
Cà Phê Muối Chú Long - Bình Dương,2563000,-524500,-400245,-73116,1565139
Cà Phê Muối Chú Long - Nguyễn Trung Trực Phú Quốc,1003000,-52500,-186626,-540,763334
Cà Phê Muối Chú Long - Lạc Long Quân,3169000,-567750,-638290,-352484,1610476
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,4739000,-1066000,-901269,-356156,2415575
Cà Phê Muối Chú Long - Ngô Tất Tố,5796000,-1267250,-1111245,-354428,3063077
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,7825000,-1663000,-1512017,-356588,4293395
Cà Phê Muối Chú Long - Hùng Vương,0,0,0,-108,-108
Cà Phê Muối Chú Long - Hồ Con Rùa,9287000,-1995000,-1789284,-358748,5143968
Cà Phê Muối Chú Long - Hậu Giang,5890000,-1274000,-1132663,-355400,3127937
Cà Phê Muối Chú Long - CMT8 Bình Dương,1171000,-195500,-191532,-192024,591944
Cà Phê Muối Chú Long - CMT8,2863000,-693750,-532281,-354860,1282109
Cà Phê Muối Chú Long - Phạm Văn Đồng Tây Ninh,2387000,-315000,-406819,-57240,1607941
TRẠM DỪNG CHÂN CHÚ LONG - TRẢNG BOM,1107000,-130000,-191828,-1188,783984
Cà Phê Muối Chú Long - Cộng Hoà,5446000,-1154500,-1053034,-354644,2883822
Cà Phê Muối Chú Long - Nguyễn Văn Cừ Phú Quốc,29000,0,-5694,-108,23198
Cà Phê Muối Chú Long - Bà Triệu,0,0,0,-17280,-17280
Cà Phê Muối Chú Long - Bình Phước,54000,-12500,-8149,0,33351
Cà Phê Muối Chú Long - An Dương Vương,1450000,-248000,-294947,-1080,905973
