Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,GrabFood / GrabMart Other Commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,VAT Amount,PIT Amount,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood / GrabMart Commission, Adjustments, Ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 7:52 PM,30 Oct 2025 7:28 PM,GrabFood,Payment ,,Transferred,3190386165sp00000000000000000000,,,,232419949-C7T2E623JT2TE6,GF-103,A-8I5B82VGWHUOAV,GrabFood app & web,,Cash,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,54000,0,0,,,,-7500,0,,0,0,46500,,,,0,0,-9130,,0,0,0,0,0,0,37370,,,,,-676,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 2:33 PM,30 Oct 2025 2:33 PM,GrabFood,Advertisement,,Transferred,3189566954sp00000000000000000000,,,,89d1102da76f4bf7b47fe64153c2a772,,89d1102da76f4bf7b47fe64153c2a772,,,Cash,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,-18000,,,,,,,,,,,,,,,,,,,,,,,,,-19440,,,,,-1440,,,,,Sáng Trưa 0Đ Plus - Gói Tiêu Chuẩn - BDD - 2025-10-29,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 2:23 PM,30 Oct 2025 2:23 PM,GrabFood,Advertisement,,Transferred,3189530730sp00000000000000000000,,,,04faf31f2a2746598919687380b35b1f,,04faf31f2a2746598919687380b35b1f,,,Cash,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,-600,,,,,,,,,,,,,,,,,,,,,,,,,-648,,,,,-48,,,,,Đồng Tài Trợ Đa Tầng - Gói Tiêu Chu - 2025-10-29,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 10:46 AM,30 Oct 2025 10:17 AM,GrabFood,Payment ,,Transferred,3188772333sp00000000000000000000,,,,349057356-C7T1VTVEVUUCFE,GF-445,A-8I3OP42GWV5NAV,GrabFood app & web,,Cashless,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,29000,0,0,,,,0,0,,0,0,29000,,,,0,0,-5694,,0,0,0,0,0,0,23306,,,,,-422,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 9:18 AM,30 Oct 2025 9:02 AM,GrabFood,Payment ,,Transferred,3188593121sp00000000000000000000,,,,362942225-C7T1UF33L743LJ,GF-785,A-8I3HT4EGWNTOAV,GrabFood app & web,,Cashless,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,58000,0,0,,,,-7500,0,,0,0,50500,,,,0,0,-9915,,0,0,0,0,0,0,40585,,,,,-734,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 8:57 AM,30 Oct 2025 8:36 AM,GrabFood,Payment ,,Transferred,3188554618sp00000000000000000000,,,,465170107-C7T1UAMYJPADJA,GF-690,A-8I3FGOHGWFD7AV,GrabFood app & web,,Cashless,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,29000,0,0,,,,-20000,0,,0,0,9000,,,,0,0,-1767,,0,0,0,0,0,0,7233,,,,,-131,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long An,b0f864d5-3009-4bc2-ae1d-ba4912bf79b4,30 Oct 2025 8:53 AM,30 Oct 2025 8:25 AM,GrabFood,Payment ,,Transferred,3188548178sp00000000000000000000,,,,313174389-C7T1T7KJPCC1CX,GF-786,A-8I3EH64GWEF4AV,GrabFood app & web,,Cashless,,,,,,,,SVN970L7O7CW,31 Oct 2025 7:42 AM,83000,0,0,,,,-22500,0,,0,0,60500,,,,0,0,-11879,,0,0,0,0,0,0,48621,,,,,-880,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Bình Phước,292c98de-af75-4573-b80a-6dc844077ea2,30 Oct 2025 10:21 AM,30 Oct 2025 9:45 AM,GrabFood,Payment ,,Transferred,3188709567sp00000000000000000000,,,,332920770-C7T1VJ3XTJWYDE,GF-230,A-8I3LRRHWXCLNAV,GrabFood app & web,,Cashless,,,,,,,,SVNKQFER5RXS,31 Oct 2025 7:44 AM,29000,0,0,,,,0,0,,0,0,29000,,,,0,0,-5694,,0,0,0,0,0,0,23306,,,,,-422,0,,,,,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,30 Oct 2025 3:03 PM,30 Oct 2025 3:03 PM,GrabFood,Advertisement,,Transferred,3189675160sp00000000000000000000,,,,0c8f058960be469cb2ca5a7d9d2a6d48,,0c8f058960be469cb2ca5a7d9d2a6d48,,,Cash,,,,,,,,SVNCU00J4T9Z,31 Oct 2025 7:41 AM,-400,,,,,,,,,,,,,,,,,,,,,,,,,-432,,,,,-32,,,,,Đồng Tài Trợ Đa Tầng - Gói Tiêu Chu - 2025-10-29,,,,,
CÔNG TY TNHH DUONG THANH LONG,15df402a-6bd9-415c-8fbe-7121dfcc79ba,Cà Phê Muối Chú Long - Long Xuyên,f8a1d2c4-1991-46b2-945d-958399251c65,30 Oct 2025 12:21 PM,30 Oct 2025 11:51 AM,GrabFood,Payment ,,Transferred,3189154135sp00000000000000000000,,,,367700762-C7T1WGDXV7JFGA,GF-891,A-8I4XCX3WX8U3AV,GrabFood app & web,,Cash,,,,,,,,SVNCU00J4T9Z,31 Oct 2025 7:41 AM,102000,0,0,,,,-12500,0,,0,0,89500,,,,0,0,-17573,,0,0,0,0,0,0,71927,,,,,-1302,0,,,,,,,,,
