Branches,Trị giá đơn hàng,Khuyến mãi từ người bán,Tổng chiết khấu cho Grab,Phí quảng cáo,Tổng thu nhập
Cà Phê Muối Chú Long - Long Xuyên,166000,-20000,-28666,-216,117118
Cà Phê Muối Chú Long - Bến Tre,758000,-102500,-128702,-648,526150
Cà Phê Muối Chú Long - Long An,514000,-85000,-84230,-324,344446
Cà Phê Muối Chú Long - Bà Rịa,895000,-82500,-159528,-176196,476776
Cà Phê Muối Chú Long - Mỹ Tho,804000,-90000,-140189,-216,573595
Cà Phê Muối Chú Long - Kiên Giang,315000,-45000,-53014,-324,216662
Cà Phê Muối Chú Long - Tỉnh Lộ 8 Củ Chi,1313000,-373250,-230593,-972,708185
Cà Phê Muối Chú Long - Củ Chi,1653000,-408750,-305310,-1944,936996
Cà Phê Muối Chú Long - Biên Hòa,3170000,-481500,-527870,-123606,2037024
Cà Phê Muối Chú Long - Phan Thiết,976000,-161500,-159922,-243108,411470
Cà Phê Muối Chú Long - Lê Duẩn,2215000,-349000,-366376,-262440,1237184
Cà Phê Muối Chú Long - Cần Thơ,3523000,-637000,-566648,-112212,2207140
Cà Phê Muối Chú Long - Quảng Ngãi,1432000,-202500,-241401,-66528,921571
Cà Phê Muối Chú Long - Long Thành,3271000,-475500,-548877,-39420,2207203
Cà Phê Muối Chú Long - Hoàng Diệu,3302000,-466500,-556723,-319140,1959637
Cà Phê Muối Chú Long- Tôn Đức Thắng,7512000,-2040750,-1342515,-8532,4120203
Cà Phê Muối Chú Long - Trần Hưng Đạo,3993000,-602000,-665796,-124200,2601004
Cà Phê Muối Chú Long - Thanh Nhàn,5892000,-1774250,-1010401,-10260,3097089
Cà Phê Muối Chú Long - Võ Văn Kiệt,5711000,-1111250,-1128665,-5508,3465577
Cà Phê Muối Chú Long - Nguyễn An Ninh,2114000,-304500,-355285,-170640,1283575
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,5680000,-1456000,-1036467,-5616,3181917
Cà Phê Muối Chú Long - Đội Cấn,5531000,-1431000,-1006039,-8640,3085321
Cà Phê Muối Chú Long - TRƯƠNG ĐỊNH,5626000,-1623500,-982119,-7884,3012497
Cà Phê Muối Chú Long - Vũng Tàu,3225000,-142000,-605336,-462046,2015618
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,4899000,-1055500,-943101,-5940,2894459
Cà Phê Muối Chú Long - Thuận An,4754000,-659500,-803931,-125388,3165181
Cà Phê Muối Chú Long - Kha Vạn Cân Thủ Đức,5903000,-1655500,-1042237,-5616,3199647
Cà Phê Muối Chú Long - Classic,6405000,-1833500,-1121728,-5400,3444372
Cà Phê Muối Chú Long - Nguyễn Huệ,2707000,-575750,-522957,-3348,1604945
Cà Phê Muối Chú Long - Đoàn Thị Điểm,148000,-21000,-24935,-104112,-2047
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,5377000,-1119250,-1044758,-4104,3208888
Cà Phê Muối Chú Long - 101 Thích Quảng Đức,3843000,-549000,-646752,-297864,2349384
Cà Phê Muối Chú Long - Đường Láng,6943000,-2153750,-1175170,-13932,3600148
Cà Phê Muối Chú Long - Tây Ninh,2516000,-382500,-418901,-2376,1712223
Cà Phê Muối Chú Long - Bình Long,6466000,-1706750,-1167801,-6264,3585185
Cà Phê Muối Chú Long - Cà Mau,636000,-92500,-106713,-216,436571
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,4430000,-1129250,-809919,-4968,2485863
Cà Phê Muối Chú Long - Bình Dương,2405000,-420000,-389740,-121176,1474084
Cà Phê Muối Chú Long - Nguyễn Trung Trực Phú Quốc,694000,-80000,-120556,-864,492580
Cà Phê Muối Chú Long - Lạc Long Quân,3765000,-868750,-710669,-3888,2181693
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3890000,-1130750,-677052,-6264,2075934
Cà Phê Muối Chú Long - Ngô Tất Tố,2367000,-598750,-433886,-3024,1331340
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4251000,-1014000,-794283,-7884,2434833
Cà Phê Muối Chú Long - Hùng Vương,616000,-129000,-95620,-243324,148056
Cà Phê Muối Chú Long - Hồ Con Rùa,4055000,-920250,-769196,-5184,2360370
Cà Phê Muối Chú Long - Hậu Giang,7599000,-1914000,-1394961,-6048,4283991
Cà Phê Muối Chú Long - CMT8 Bình Dương,1845000,-286500,-306001,-120096,1132403
Cà Phê Muối Chú Long - CMT8,3595000,-746250,-699017,-2268,2147465
Cà Phê Muối Chú Long - Phạm Văn Đồng Tây Ninh,1472000,-288000,-232466,-38556,912978
TRẠM DỪNG CHÂN CHÚ LONG - TRẢNG BOM,862000,-152500,-139307,-864,569329
Cà Phê Muối Chú Long - Cộng Hoà,4388000,-997750,-831888,-5292,2553070
Cà Phê Muối Chú Long - Nguyễn Văn Cừ Phú Quốc,29000,0,-5694,0,23306
Cà Phê Muối Chú Long - Bà Triệu,889056,-161500,-138716,-174312,414528
Cà Phê Muối Chú Long - Bình Phước,0,0,0,-216,-216
Cà Phê Muối Chú Long - An Dương Vương,870000,-122000,-183540,-756,563704
