Row Labels, Sum of SAU QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 310,981 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 64,953 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 992,718 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 812,333 "
Cà Phê Muối Chú Long - Bà Rịa," 12,584 "
Cà Phê Muối Chú Long - Bà Triệu," 223,376 "
Cà Phê Muối Chú Long - Bình Long," 1,203,509 "
Cà Phê Muối Chú Long - Cà Mau," 70,179 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 279,236 "
Cà Phê Muối Chú Long - Cần Thơ," 355,147 "
Cà Phê Muối Chú Long - Classic," 308,079 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 825,282 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 34,912 "
Cà Phê Muối Chú Long - Đội Cấn," 2,107,507 "
Cà Phê Muối Chú Long - Đồng Xoài," 149,757 "
Cà Phê Muối Chú Long - Đường Láng," 2,121,068 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 955,988 "
Cà Phê Muối Chú Long - Hậu Giang," 1,053,488 "
Cà Phê Muối Chú Long - Hoàng Diệu," 305,683 "
Cà Phê Muối Chú Long - Hùng Vương," 103,021 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 576,576 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 952,691 "
Cà Phê Muối Chú Long - Kiên Giang," 100,920 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 338,931 "
Cà Phê Muối Chú Long - Lạc Long Quân," 334,404 "
Cà Phê Muối Chú Long - Lê Duẩn," 387,837 "
Cà Phê Muối Chú Long - Long An," 219,174 "
Cà Phê Muối Chú Long - Long Xuyên," 77,639 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 173,301 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 1,429,423 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 1,239,962 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 314,167 "
Cà Phê Muối Chú Long - Phan Thiết," 377,249 "
Cà Phê Muối Chú Long - Quảng Ngãi," 383,006 "
Cà Phê Muối Chú Long - Tân Hoà Đông," 457,266 "
Cà Phê Muối Chú Long - Tây Ninh," 24,824 "
Cà Phê Muối Chú Long - Tiền Giang," 117,564 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 1,246,236 "
Cà Phê Muối Chú Long - Thanh Nhàn," 3,174,007 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 264,844 "
Cà Phê Muối Chú Long - Thuận An," 200,865 "
Cà Phê Muối Chú Long - Trà Vinh," 49,080 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 137,871 "
Cà Phê Muối Chú Long - Trương Định," 2,003,805 "
Cà Phê Muối Chú Long - Vĩnh Long," 111,443 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 490,067 "
Cà Phê Muối Chú Long - Vũng Tàu," 169,506 "
Grand Total," 27,642,457 "
