Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,643595
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,232387
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2880476
Cà Phê Muối Chú Long - 417 Cộng Hoà,2248428
Cà Phê Muối Chú Long - Bà Rịa,172781
Cà Phê Muối Chú Long - Bà Triệu,1328116
Cà Phê Muối Chú Long - Bến Tre,313874
Cà Phê Muối Chú Long - Bình Long,3120631
Cà Phê Muối Chú Long - Cà Mau,265886
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,875980
Cà Phê Muối Chú Long - Cần Thơ,1012921
Cà Phê Muối Chú Long - Classic,2065456
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2852786
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1711631
Cà Phê Muối Chú Long - Đoàn Thị Điểm,183005
Cà Phê Muối Chú Long - Đội Cấn,6667297
Cà Phê Muối Chú Long - Đồng Xoài,374989
Cà Phê Muối Chú Long - Đường Láng,7582033
Cà Phê Muối Chú Long - Hà Huy Giáp,4054512
Cà Phê Muối Chú Long - Hậu Giang,4050368
Cà Phê Muối Chú Long - Hoàng Diệu,673018
Cà Phê Muối Chú Long - Hùng Vương,227484
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1998494
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3262069
Cà Phê Muối Chú Long - Kiên Giang,995752
Cà Phê Muối Chú Long - Kha Vạn Cân,1833450
Cà Phê Muối Chú Long - Lạc Long Quân,2646835
Cà Phê Muối Chú Long - Lê Duẩn,1452609
Cà Phê Muối Chú Long - Long An,477789
Cà Phê Muối Chú Long - Long Xuyên,473261
Cà Phê Muối Chú Long - Ngô Tất Tố,701504
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,5431905
Cà Phê Muối Chú Long - Nguyễn Huệ,4897069
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1522593
Cà Phê Muối Chú Long - Phan Thiết,1370167
Cà Phê Muối Chú Long - Quảng Ngãi,1231953
Cà Phê Muối Chú Long - Tây Ninh,301803
Cà Phê Muối Chú Long - Tiền Giang,612391
Cà Phê Muối Chú Long - Tôn Đức Thắng,9461334
Cà Phê Muối Chú Long - Thanh Nhàn,11777624
Cà Phê Muối Chú Long - Thích Quảng Đức,799021
Cà Phê Muối Chú Long - Thuận An,809769
Cà Phê Muối Chú Long - Trà Vinh,665319
Cà Phê Muối Chú Long - Trần Hưng Đạo,326510
Cà Phê Muối Chú Long - Trương Định,7051746
Cà Phê Muối Chú Long - Vĩnh Long,475260
Cà Phê Muối Chú Long - Võ Văn Kiệt,1835786
Cà Phê Muối Chú Long - Vũng Tàu,928043
(blank),
Grand Total,106877710
