Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,980481
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,175800
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2332930
Cà Phê Muối Chú Long - 417 Cộng Hoà,2603046
Cà Phê Muối Chú Long - An Dương Vương,1101573
Cà Phê Muối Chú Long - Bà Rịa,303121
Cà Phê Muối Chú Long - Bà Triệu,381967
Cà Phê Muối Chú Long - Bến Tre,169762
Cà Phê Muối Chú Long - Bình Long,3133466
Cà Phê Muối Chú Long - Cà Mau,239930
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,932192
Cà Phê Muối Chú Long - Cần Thơ,1743843
Cà Phê Muối Chú Long - Classic,1218144
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2932385
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,950305
Cà Phê Muối Chú Long - Đoàn Thị Điểm,415732
Cà Phê Muối Chú Long - Đội Cấn,5561459
Cà Phê Muối Chú Long - Đồng Xoài,387816
Cà Phê Muối Chú Long - Đường Láng,8004542
Cà Phê Muối Chú Long - Hà Huy Giáp,3574648
Cà Phê Muối Chú Long - Hậu Giang,3167040
Cà Phê Muối Chú Long - Hoàng Diệu,1393005
Cà Phê Muối Chú Long - Hùng Vương,312176
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,2075266
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3800061
Cà Phê Muối Chú Long - Kiên Giang,277092
Cà Phê Muối Chú Long - Kha Vạn Cân,2381220
Cà Phê Muối Chú Long - Lạc Long Quân,1371687
Cà Phê Muối Chú Long - Lê Duẩn,812601
Cà Phê Muối Chú Long - Long An,526265
Cà Phê Muối Chú Long - Long Xuyên,196548
Cà Phê Muối Chú Long - Ngô Tất Tố,683962
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4579471
Cà Phê Muối Chú Long - Nguyễn Huệ,4966908
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1515421
Cà Phê Muối Chú Long - Phan Thiết,1377708
Cà Phê Muối Chú Long - Quảng Ngãi,1118173
Cà Phê Muối Chú Long - Tây Ninh,62624
Cà Phê Muối Chú Long - Tiền Giang,128077
Cà Phê Muối Chú Long - Tôn Đức Thắng,8536458
Cà Phê Muối Chú Long - Thanh Nhàn,10406123
Cà Phê Muối Chú Long - Thích Quảng Đức,805058
Cà Phê Muối Chú Long - Thuận An,1036310
Cà Phê Muối Chú Long - Trà Vinh,899931
Cà Phê Muối Chú Long - Trần Hưng Đạo,445158
Cà Phê Muối Chú Long - Trương Định,8382164
Cà Phê Muối Chú Long - Vĩnh Long,467605
Cà Phê Muối Chú Long - Võ Văn Kiệt,2489488
Cà Phê Muối Chú Long - Vũng Tàu,459870
(blank),
Grand Total,101816612
