Row Labels, Sum of SAU QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 151,856 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 22,687 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 576,218 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 378,729 "
Cà Phê Muối Chú Long - An Dương Vương," 108,171 "
Cà Phê Muối Chú Long - Bà Rịa," 11,311 "
Cà Phê Muối Chú Long - Bà Triệu," 77,000 "
Cà Phê Muối Chú Long - Bến Tre," 16,869 "
Cà Phê Muối Chú Long - Bình Long," 682,309 "
Cà Phê Muối Chú Long - Cà Mau," 10,466 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 140,935 "
Cà Phê Muối Chú Long - Cần Thơ," 151,205 "
Cà Phê Muối Chú Long - Classic," 296,170 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 214,652 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 302,345 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 50,770 "
Cà Phê Muối Chú Long - Đội Cấn," 631,864 "
Cà Phê Muối Chú Long - Đồng Xoài," 63,446 "
Cà Phê Muối Chú Long - Đường Láng," 1,020,992 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 646,846 "
Cà Phê Muối Chú Long - Hậu Giang," 763,631 "
Cà Phê Muối Chú Long - Hoàng Diệu," 208,248 "
Cà Phê Muối Chú Long - Hùng Vương," 51,843 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 376,518 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 538,449 "
Cà Phê Muối Chú Long - Kiên Giang," 74,237 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 360,591 "
Cà Phê Muối Chú Long - Lạc Long Quân," 211,272 "
Cà Phê Muối Chú Long - Lê Duẩn," 187,024 "
Cà Phê Muối Chú Long - Long An," 99,492 "
Cà Phê Muối Chú Long - Long Xuyên," 48,430 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 171,423 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 718,907 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 624,648 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 237,664 "
Cà Phê Muối Chú Long - Phan Thiết," 463,330 "
Cà Phê Muối Chú Long - Quảng Ngãi," 307,318 "
Cà Phê Muối Chú Long - Tây Ninh," 49,665 "
Cà Phê Muối Chú Long - Tiền Giang," 376,678 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 1,121,817 "
Cà Phê Muối Chú Long - Thanh Nhàn," 1,029,313 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 128,128 "
Cà Phê Muối Chú Long - Thuận An," 93,187 "
Cà Phê Muối Chú Long - Trà Vinh," 110,966 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 67,997 "
Cà Phê Muối Chú Long - Trương Định," 1,140,280 "
Cà Phê Muối Chú Long - Vĩnh Long," 48,592 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 320,547 "
Cà Phê Muối Chú Long - Vũng Tàu," 152,115 "
Grand Total," 15,637,151 "
