Row Labels,Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,604360
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,536074
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,3165147
Cà Phê Muối Chú Long - 417 Cộng Hoà,2317845
Cà Phê Muối Chú Long - An Dương Vương,947659
Cà Phê Muối Chú Long - Bà Rịa,88088
Cà Phê Muối Chú Long - Bà Triệu,1146088
Cà Phê Muối Chú Long - Bến Tre,142412
Cà Phê Muối Chú Long - Bình Long,3985220
Cà Phê Muối Chú Long - Cà Mau,237669
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1017075
Cà Phê Muối Chú Long - Cần Thơ,852213
Cà Phê Muối Chú Long - Classic,2011516
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2360093
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1592006
Cà Phê Muối Chú Long - Đoàn Thị Điểm,297274
Cà Phê Muối Chú Long - Đội Cấn,7436776
Cà Phê Muối Chú Long - Đồng Xoài,356127
Cà Phê Muối Chú Long - Đường Láng,7747632
Cà Phê Muối Chú Long - Hà Huy Giáp,4267655
Cà Phê Muối Chú Long - Hậu Giang,3804443
Cà Phê Muối Chú Long - Hoàng Diệu,796004
Cà Phê Muối Chú Long - Hùng Vương,186928
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1125724
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3492984
Cà Phê Muối Chú Long - Kiên Giang,441572
Cà Phê Muối Chú Long - Kha Vạn Cân,2148827
Cà Phê Muối Chú Long - Lạc Long Quân,1608607
Cà Phê Muối Chú Long - Lê Duẩn,946864
Cà Phê Muối Chú Long - Long An,659813
Cà Phê Muối Chú Long - Long Xuyên,233895
Cà Phê Muối Chú Long - Ngô Tất Tố,835237
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4396728
Cà Phê Muối Chú Long - Nguyễn Huệ,3746043
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1634259
Cà Phê Muối Chú Long - Phan Thiết,1761109
Cà Phê Muối Chú Long - Quảng Ngãi,1337359
Cà Phê Muối Chú Long - Tây Ninh,141846
Cà Phê Muối Chú Long - Tiền Giang,561161
Cà Phê Muối Chú Long - Tôn Đức Thắng,8686079
Cà Phê Muối Chú Long - Thanh Nhàn,10785496
Cà Phê Muối Chú Long - Thích Quảng Đức,607376
Cà Phê Muối Chú Long - Thuận An,1245494
Cà Phê Muối Chú Long - Trà Vinh,416486
Cà Phê Muối Chú Long - Trần Hưng Đạo,234272
Cà Phê Muối Chú Long - Trương Định,9265684
Cà Phê Muối Chú Long - Vĩnh Long,532868
Cà Phê Muối Chú Long - Võ Văn Kiệt,3256437
Cà Phê Muối Chú Long - Vũng Tàu,910687
Grand Total,106909211
(blank),
Grand Total,213818422
