Row Labels,Sum of Thực thu
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,975496
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,256945
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2332320
Cà Phê Muối Chú Long - 417 Cộng Hoà,3367721
Cà Phê Muối Chú Long - An Dương Vương,1368439
Cà Phê Muối Chú Long - Bà Rịa,116683
Cà Phê Muối Chú Long - Bà Triệu,545769
Cà Phê Muối Chú Long - Bến Tre,276374
Cà Phê Muối Chú Long - Bình Long,3131866
Cà Phê Muối Chú Long - Cà Mau,169046
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1027783
Cà Phê Muối Chú Long - Cần Thơ,1685748
Cà Phê Muối Chú Long - Classic,1365130
Cà Phê Muối Chú Long - Công Trường Quốc Tế,1543487
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1380290
Cà Phê Muối Chú Long - Đoàn Thị Điểm,132793
Cà Phê Muối Chú Long - Đội Cấn,6266303
Cà Phê Muối Chú Long - Đồng Xoài,216768
Cà Phê Muối Chú Long - Đường Láng,8336276
Cà Phê Muối Chú Long - Hà Huy Giáp,3153750
Cà Phê Muối Chú Long - Hậu Giang,5061890
Cà Phê Muối Chú Long - Hoàng Diệu,1268317
Cà Phê Muối Chú Long - Hùng Vương,631442
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,1171895
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,2432143
Cà Phê Muối Chú Long - Kiên Giang,613636
Cà Phê Muối Chú Long - Kha Vạn Cân,1990832
Cà Phê Muối Chú Long - Lạc Long Quân,2096613
Cà Phê Muối Chú Long - Lê Duẩn,1702268
Cà Phê Muối Chú Long - Long An,477600
Cà Phê Muối Chú Long - Long Xuyên,224539
Cà Phê Muối Chú Long - Ngô Tất Tố,910834
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4582698
Cà Phê Muối Chú Long - Nguyễn Huệ,4725678
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1867398
Cà Phê Muối Chú Long - Phan Thiết,1597948
Cà Phê Muối Chú Long - Phan Văn Trị,517593
Cà Phê Muối Chú Long - Quảng Ngãi,1300762
Cà Phê Muối Chú Long - Tây Ninh,44704
Cà Phê Muối Chú Long - Tiền Giang,397547
Cà Phê Muối Chú Long - Tôn Đức Thắng,10353216
Cà Phê Muối Chú Long - Thanh Nhàn,9743886
Cà Phê Muối Chú Long - Thích Quảng Đức,1318871
Cà Phê Muối Chú Long - Thuận An,1030197
Cà Phê Muối Chú Long - Trà Vinh,362615
Cà Phê Muối Chú Long - Trần Hưng Đạo,361445
Cà Phê Muối Chú Long - Trương Định,10320087
Cà Phê Muối Chú Long - Vĩnh Long,626652
Cà Phê Muối Chú Long - Võ Văn Kiệt,1769312
Cà Phê Muối Chú Long - Vũng Tàu,27162
(blank),
Grand Total,107178767
