Tên c?a hàng,Sum of Th?c thu
Cà Phê Mu?i Chú Long - 130 Thích Qu?ng Ð?c,1418240
Cà Phê Mu?i Chú Long - 1349 Cách M?ng Tháng 8,450703
Cà Phê Mu?i Chú Long - 17A Ngô T?t T?,2135325
Cà Phê Mu?i Chú Long - 417 C?ng Hoà,2372234
Cà Phê Mu?i Chú Long - An Duong Vuong,879372
Cà Phê Mu?i Chú Long - Bà R?a,57908
Cà Phê Mu?i Chú Long - Bà Tri?u,519550
Cà Phê Mu?i Chú Long - B?ch Ð?ng,1229839
Cà Phê Mu?i Chú Long - B?n Tre,295613
Cà Phê Mu?i Chú Long - Bình Long,3165293
Cà Phê Mu?i Chú Long - Cà Mau,204282
Cà Phê Mu?i Chú Long - Cách M?ng Tháng 8,627672
Cà Phê Mu?i Chú Long - C?n Tho,1130884
Cà Phê Mu?i Chú Long - Classic,1855479
Cà Phê Mu?i Chú Long - Công Tru?ng Qu?c T?,1683674
Cà Phê Mu?i Chú Long - Ð?ng Nguyên C?n,1135076
Cà Phê Mu?i Chú Long - Ðoàn Th? Ði?m,211260
Cà Phê Mu?i Chú Long - Ð?i C?n,10206768
Cà Phê Mu?i Chú Long - Ð?ng Xoài,202208
Cà Phê Mu?i Chú Long - Ðu?ng Láng,8748244
Cà Phê Mu?i Chú Long - Hà Huy Giáp,4528979
Cà Phê Mu?i Chú Long - H?u Giang,3611659
Cà Phê Mu?i Chú Long - Hoàng Di?u,929431
Cà Phê Mu?i Chú Long - Hùng Vuong,309194
Cà Phê Mu?i Chú Long - Hu?nh T?n Phát,1750071
Cà Phê Mu?i Chú Long - Hu?nh Van Bánh,3258401
Cà Phê Mu?i Chú Long - Kha V?n Cân,1587705
Cà Phê Mu?i Chú Long - Kiên Giang,568328
Cà Phê Mu?i Chú Long - L?c Long Quân,2271359
Cà Phê Mu?i Chú Long - Lê Du?n,973230
Cà Phê Mu?i Chú Long - Long An,704213
Cà Phê Mu?i Chú Long - Long Xuyên,324474
Cà Phê Mu?i Chú Long - Ngô T?t T?,1032914
Cà Phê Mu?i Chú Long - Nguy?n Ðình Chi?u,3857177
Cà Phê Mu?i Chú Long - Nguy?n Hu?,3130361
Cà Phê Mu?i Chú Long - Nguy?n H?u C?nh,2737636
Cà Phê Mu?i Chú Long - Phan Thi?t,1687930
Cà Phê Mu?i Chú Long - Phan Van Tr?,1515798
Cà Phê Mu?i Chú Long - Qu?ng Ngãi,898612
Cà Phê Mu?i Chú Long - Tây Ninh,176479
Cà Phê Mu?i Chú Long - Thanh Nhàn,11243016
Cà Phê Mu?i Chú Long - Thích Qu?ng Ð?c,1283107
Cà Phê Mu?i Chú Long - Thu?n An,1778473
Cà Phê Mu?i Chú Long - Ti?n Giang,274716
Cà Phê Mu?i Chú Long - Tôn Ð?c Th?ng,3788814
Cà Phê Mu?i Chú Long - Trà Vinh,341339
Cà Phê Mu?i Chú Long - Tr?n Hung Ð?o,208732
Cà Phê Mu?i Chú Long - Truong Ð?nh,9812696
Cà Phê Mu?i Chú Long - Vinh Long,557125
Cà Phê Mu?i Chú Long - Võ Van Ki?t,2961125
Cà Phê Mu?i Chú Long - Vung Tàu,676790
(blank),
Grand Total,107309508
