Row Labels, Sum of  Sum of PHÍ QUẢNG CÁO   
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 1,545,305 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 532,615 "
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 3,435,343 "
Cà Phê Muối Chú Long - 417 Cộng Hoà," 3,957,780 "
Cà Phê Muối Chú Long - An Dương Vương," 1,462,537 "
Cà Phê Muối Chú Long - Bà Rịa," 240,527 "
Cà Phê Muối Chú Long - Bà Triệu," 788,035 "
Cà Phê Muối Chú Long - Bạch Đằng," 423,599 "
Cà Phê Muối Chú Long - Bến Tre," 84,232 "
Cà Phê Muối Chú Long - Bình Long," 4,417,998 "
Cà Phê Muối Chú Long - Cà Mau," 426,518 "
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 1,325,332 "
Cà Phê Muối Chú Long - Cần Thơ," 1,416,426 "
Cà Phê Muối Chú Long - Classic," 2,468,177 "
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 3,340,886 "
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 1,778,336 "
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 377,833 "
Cà Phê Muối Chú Long - Đội Cấn," 11,476,320 "
Cà Phê Muối Chú Long - Đồng Xoài," 523,901 "
Cà Phê Muối Chú Long - Đường Láng," 11,764,464 "
Cà Phê Muối Chú Long - Hà Huy Giáp," 5,988,902 "
Cà Phê Muối Chú Long - Hậu Giang," 5,555,770 "
Cà Phê Muối Chú Long - Hoàng Diệu," 1,690,150 "
Cà Phê Muối Chú Long - Hùng Vương," 558,032 "
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 3,016,316 "
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 3,267,554 "
Cà Phê Muối Chú Long - Kha Vạn Cân," 2,141,172 "
Cà Phê Muối Chú Long - Kiên Giang," 644,212 "
Cà Phê Muối Chú Long - Lạc Long Quân," 2,336,420 "
Cà Phê Muối Chú Long - Lê Duẩn," 1,339,735 "
Cà Phê Muối Chú Long - Long An," 1,322,215 "
Cà Phê Muối Chú Long - Long Xuyên," 463,329 "
Cà Phê Muối Chú Long - Ngô Tất Tố," 1,245,284 "
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 5,111,920 "
Cà Phê Muối Chú Long - Nguyễn Huệ," 4,442,818 "
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 3,912,783 "
Cà Phê Muối Chú Long - Phan Thiết," 2,837,655 "
Cà Phê Muối Chú Long - Phan Văn Trị," 2,148,182 "
Cà Phê Muối Chú Long - Quảng Ngãi," 830,396 "
Cà Phê Muối Chú Long - Tây Ninh," 463,526 "
Cà Phê Muối Chú Long - Thanh Nhàn," 15,201,848 "
Cà Phê Muối Chú Long - Thích Quảng Đức," 1,793,818 "
Cà Phê Muối Chú Long - Thuận An," 1,262,274 "
Cà Phê Muối Chú Long - Tiền Giang," 709,404 "
Cà Phê Muối Chú Long - Tôn Đức Thắng," 12,725,497 "
Cà Phê Muối Chú Long - Trà Vinh," 481,199 "
Cà Phê Muối Chú Long - Trần Hưng Đạo," 952,366 "
Cà Phê Muối Chú Long - Trương Định," 13,133,902 "
Cà Phê Muối Chú Long - Vĩnh Long," 935,762 "
Cà Phê Muối Chú Long - Võ Văn Kiệt," 3,584,918 "
Cà Phê Muối Chú Long - Vũng Tàu," 1,026,478 "
Grand Total," 152,910,000 "
(blank),
Grand Total," 305,820,001 "
